Country Name,Country Code,Population,Quality of Life (Numbeo 2023) ,Rank
Tanzania,TZA,67438106.0,,
Uganda,UGA,48582334.0,,
Ukraine,UKR,37000000.0,107.3,61.0
Uruguay,URY,3423108.0,136.2,41.0
United States,USA,334914895.0,173.0,16.0
Uzbekistan,UZB,36412350.0,,
Vanuatu,VUT,334506.0,,
Samoa,WSM,225681.0,,
South Africa,ZAF,60414495.0,136.9,40.0
Zambia,ZMB,20569737.0,,
Zimbabwe,ZWE,16665409.0,,
