Country Name,Country Code,Gini index_2018,Gini index_2019,Gini index_2020,Gini index_2021,Gini index_2022,Risk of impoverishing expenditure for surgical care (% of people at risk)_2018,Risk of impoverishing expenditure for surgical care (% of people at risk)_2019,Risk of impoverishing expenditure for surgical care (% of people at risk)_2020,Risk of impoverishing expenditure for surgical care (% of people at risk)_2021,Risk of impoverishing expenditure for surgical care (% of people at risk)_2022,"Inflation, consumer prices (annual %)_2018","Inflation, consumer prices (annual %)_2019","Inflation, consumer prices (annual %)_2020","Inflation, consumer prices (annual %)_2021","Inflation, consumer prices (annual %)_2022",Lending interest rate (%)_2018,Lending interest rate (%)_2019,Lending interest rate (%)_2020,Lending interest rate (%)_2021,Lending interest rate (%)_2022,Multidimensional poverty headcount ratio (World Bank) (% of population)_2018,Multidimensional poverty headcount ratio (World Bank) (% of population)_2019,Multidimensional poverty headcount ratio (World Bank) (% of population)_2020,Multidimensional poverty headcount ratio (World Bank) (% of population)_2021,Multidimensional poverty headcount ratio (World Bank) (% of population)_2022
Guinea-Bissau,GNB,34.8,43.16666666666667,31.472727272727276,33.4,34.611111111111114,89.9,84.7,86.4,82.2,81.3,0.381324703,0.246600268,1.140009394,2.242488796,9.393838775,12.974444443333333,11.233055556666669,10.485462962,9.979166666666666,9.585555554666666,46.1,10.866666666666667,1.9090909090909087,38.7,3.355555555555556
Guyana,GUY,39.5,44.84444444444445,31.118181818181817,32.56,34.72222222222222,67.6,65.55,67.95,65.85,65.05,1.282842884,2.087230892,0.993337023,5.032855746,6.115055501,13.0,10.47916667,9.465277778,8.875,8.416666667,36.4,12.177777777777775,1.6272727272727274,31.040000000000003,3.261111111111111
Haiti,HTI,44.2,46.52222222222223,30.763636363636365,31.72,34.833333333333336,45.3,46.4,49.5,49.5,48.8,12.48141112,18.70378257,22.79631136,16.84152402,33.98393195,13.1025,14.12166667,14.63416667,13.3475,11.095,26.7,13.488888888888887,1.3454545454545457,23.380000000000003,3.166666666666667
Honduras,HND,48.9,48.2,30.40909090909091,30.88,34.94444444444444,44.9,43.6,49.4,45.6,44.5,4.347349378,4.365871598,3.46841178,4.480879634,9.089639115,17.80416667,17.33916667,17.00916667,15.96583333,14.60703548,17.0,14.8,1.063636363636364,15.72,3.072222222222222
"Hong Kong SAR, China",HKG,39.25,39.1,30.05454545454545,30.04,35.05555555555556,22.8,22.15,25.0,23.05,22.45,2.40613432,2.883208538,0.250962021,1.568758344,1.881367072,5.041666667,5.104166667,5.0,5.0,5.104166667,8.7,7.6,0.7818181818181822,8.059999999999999,2.977777777777778
Hungary,HUN,29.6,30.0,29.7,29.2,35.166666666666664,0.7,0.7,0.6,0.5,0.4,2.850247926,3.338586354,3.326743858,5.110965344,14.60814395,1.470967593,1.792433788,1.957689133,2.964537618,10.65543145,0.4,0.4,0.5,0.4,2.8833333333333333
Iceland,ISL,32.05,31.9,31.75,31.0,35.27777777777778,0.0,0.1,0.1,0.0,0.0,2.682917683,3.013971792,2.847924015,4.444239702,8.308755116,6.955,6.95,5.758712412,5.404157498,7.597300754,2.1,1.6,1.4666666666666668,1.3666666666666667,2.7888888888888888
India,IND,34.5,33.8,33.8,32.8,35.388888888888886,48.4,46.3,49.6,43.9,40.2,3.938826467,3.729505735,6.623436776,5.131407472,6.699034141,9.454166667,9.46625,9.15,8.698333333,8.567142857,3.8,2.8,2.4333333333333336,2.333333333333333,2.6944444444444446
Indonesia,IDN,36.3,35.4,35.3,35.5,35.5,25.1,22.6,23.6,23.3,23.2,3.198346416,3.03058665,1.920968006,1.560129905,4.209463834,10.53666667,10.36583333,9.544166667,8.9225,8.52,5.5,4.0,3.4,3.3,2.6
"Iran, Islamic Rep.",IRN,37.4,36.5,35.8,35.5,34.8,29.3,30.7,33.3,32.2,29.8,18.01411834,39.90734557,30.59413904,43.38901627,43.48846417,9.124854635,8.999378389399999,8.29693804,7.7581500138,7.4076352908,0.8,0.8,0.9,0.8,0.5
