Country Name,Country Code,"Persistence to last grade of primary, total (% of cohort)_2018","Persistence to last grade of primary, total (% of cohort)_2019","Persistence to last grade of primary, total (% of cohort)_2020","Persistence to last grade of primary, total (% of cohort)_2021","Persistence to last grade of primary, total (% of cohort)_2022","Share of youth not in education, employment or training, total (% of youth population)_2018","Share of youth not in education, employment or training, total (% of youth population)_2019","Share of youth not in education, employment or training, total (% of youth population)_2020","Share of youth not in education, employment or training, total (% of youth population)_2021","Share of youth not in education, employment or training, total (% of youth population)_2022","Primary completion rate, total (% of relevant age group)_2018","Primary completion rate, total (% of relevant age group)_2019","Primary completion rate, total (% of relevant age group)_2020","Primary completion rate, total (% of relevant age group)_2021","Primary completion rate, total (% of relevant age group)_2022","Literacy rate, adult total (% of people ages 15 and above)_2018","Literacy rate, adult total (% of people ages 15 and above)_2019","Literacy rate, adult total (% of people ages 15 and above)_2020","Literacy rate, adult total (% of people ages 15 and above)_2021","Literacy rate, adult total (% of people ages 15 and above)_2022","Current education expenditure, total (% of total expenditure in public institutions)_2018","Current education expenditure, total (% of total expenditure in public institutions)_2019","Current education expenditure, total (% of total expenditure in public institutions)_2020","Current education expenditure, total (% of total expenditure in public institutions)_2021","Current education expenditure, total (% of total expenditure in public institutions)_2022"
France,FRA,95.7711696625,94.5467853525,94.3735446925,98.964225766,,13.082,12.618,12.701,11.485,11.559,91.151712415,90.59606679333334,92.3037223825,93.062376025,92.592559815,78.13268199315789,88.91967156884616,85.23454353909091,82.64684456473684,83.82500203333333,92.15415192,91.5382309,91.9781189,86.06469945,98.70586627652172
French Polynesia,PYF,91.965465545,89.600147245,88.98914718500001,99.012168882,,18.535,15.963,15.75225,10.7616,10.6068,82.60147476,81.75553385666666,85.426094055,86.84407425,86.8020401,78.35584820789474,88.89542212538461,84.4254524909091,79.77631820052632,84.75750223666667,92.220262148,91.54737244,91.686831668,86.93234834666667,98.81371075347826
Gabon,GAB,88.1597614275,84.65350913750001,83.6047496775,99.060111998,,23.988,19.308,18.8035,10.0382,9.6546,74.051237105,72.91500092,78.5484657275,80.625772475,81.011520385,78.57901442263157,88.87117268192307,83.61636144272727,76.90579183631579,85.69000244,92.286372376,91.55651398,91.395544436,87.79999724333334,98.92155523043478
"Gambia, The",GMB,84.35405731,79.70687103,78.22035217,99.108055114,,29.441,22.653,21.85475,9.3148,8.7024,65.50099945,68.6075592,71.6708374,74.4074707,75.22100067,78.80218063736842,88.84692323846154,82.80727039454545,74.03526547210527,58.66999817,92.352482604,91.56565552,91.104257204,88.66764614,99.0293997073913
Georgia,GEO,98.67887115,98.2835083,99.17141724,99.15599823,,26.851,25.998,24.906,8.5914,7.750199999999999,102.5382233,98.48166656,95.09580231,88.79543304,111.2925491,79.02534685210526,88.822673795,81.99817934636364,71.16473910789473,99.57498932,92.418592832,91.57479706,90.812969972,89.53529503666667,99.13724418434782
Germany,DEU,98.824758525,98.5763778675,99.243862155,93.78905487,,6.011,5.607,7.295,7.868,6.798,98.58837128,99.6325531,98.38349152,100.9737015,101.649860365,79.24851306684211,88.79842435153846,81.18908829818182,68.29421274368421,97.661865235,92.48470306,91.5839386,90.52168274,90.40294393333332,99.24508866130437
Ghana,GHA,98.9706459,98.869247435,99.31630707,88.42211151,,8.903333333333332,8.063666666666666,9.373333333333331,9.261333333333331,27.734,88.04061127,111.50982665,112.98485186,116.3222618,92.00717163,79.47167928157894,88.77417490807693,80.37999725,65.42368637947368,95.74874115,91.05081176333331,89.87894948333333,91.19441114285716,91.27059283,99.35293313826088
Gibraltar,GIB,99.116533275,99.1621170025,99.388751985,88.23929850166667,,11.795666666666666,10.520333333333332,11.451666666666666,10.654666666666667,19.543,93.541397095,123.3871002,127.5862122,131.6708221,130.5785065,79.69484549631579,88.74992546461539,81.356185433125,62.55316001526316,93.835617065,89.61692046666667,88.17396036666666,91.86713954571428,92.13824172666668,99.4607776152174
Greece,GRC,99.26242065,99.45498657,99.4611969,88.05648549333333,,14.688,12.977,13.53,12.048,11.352,99.04218292,97.83740234,99.75710297,98.85652161,121.86431582,79.91801171105263,88.72567602115384,82.33237361625001,59.68263365105263,91.92249298,88.18302917,86.46897125,92.53986794857144,93.00589062333334,99.56862209217392
Greenland,GRL,92.408769605,93.71408653,98.020103455,87.873672485,,20.8145,18.456,21.2205,15.57075,15.902,94.7186603525,93.560911175,95.1515426675,96.268169405,113.15012514,80.14117792578948,88.70142657769232,83.308561799375,56.81210728684211,90.009368895,89.2342376675,88.5214157075,93.21259635142856,93.87353952,99.67646656913044
Grenada,GRD,85.55511856,87.97318649,96.57901001,87.69085947666667,,26.941,23.935,28.911,19.0935,20.452,90.395137785,89.28442000999999,90.545982365,93.6798172,104.43593446,80.36434414052631,88.67717713423077,84.2847499825,53.94158092263158,88.09624481,90.285446165,90.573860165,93.88532475428572,94.74118841666667,99.78431104608696
Guam,GUM,78.70146751499999,82.23228645,95.137916565,87.50804646833333,,27.3655,26.06,26.421125,22.61625,25.002,86.07161521750001,85.007928845,85.9404220625,91.091464995,95.72174378,80.58751035526316,88.65292769076923,85.260938165625,51.071054558421054,86.18312072500001,91.3366546625,92.6263046225,94.55805315714284,95.60883731333334,99.89215552304348
Guatemala,GTM,71.84781647,76.49138641,93.69682312,87.32523346,,27.79,28.185,23.93125,26.139,29.552,81.74809265,80.73143768,81.33486176,88.50311279,87.0075531,80.81067657,88.62867824730769,86.23712634875,48.20052819421053,84.26999664,92.38786316,94.67874908,95.23078156,96.47648621,100.0
Guinea,GIN,76.09871165166666,76.53371276600001,89.49176178,87.71420288200001,,24.6875,34.301,21.441375,27.2944,21.695,56.64500046,56.99700165,60.7978096,63.18399811,89.16040929166667,39.6176796,88.60442880384616,87.213314531875,45.33000183,69.08499908499999,87.63375092,97.97048187,98.62207031,96.60440781882352,99.08342465454544
Guinea-Bissau,GNB,80.34960683333333,76.576039122,85.28670044,88.10317230400001,,21.585,14.03,18.951500000000003,28.4498,13.838,63.893182374,65.01139526600001,69.53206176,74.366149908,91.31326548333332,51.514569285,88.58017936038462,88.189502715,54.29166793666667,53.90000153,87.44351578166666,96.528714495,97.089150745,96.73232942764706,98.1668493090909
Guyana,GUY,84.60050201499999,76.618365478,81.0816391,88.492141726,,42.926,45.662,16.461625,29.6052,19.636,71.141364288,73.025788882,78.26631392,85.54830170599999,93.466121675,63.41145897,88.55592991692308,89.165690898125,63.25333404333334,90.02999878,87.25328064333333,95.08694712,95.55623118,96.8602510364706,97.25027396363636
Haiti,HTI,88.85139719666667,76.66069183399999,76.87657776,88.881111148,,34.8035,36.884,13.97175,30.7606,25.434,78.389546202,81.04018249800001,87.00056608,96.730453504,95.61897786666668,75.308348655,88.53168047346155,90.14187908125,72.21500015000001,87.74546178166666,87.06304550499999,93.645179745,94.023311615,96.98817264529411,96.3336986181818
Honduras,HND,93.10229237833332,76.70301819,72.67151642,89.27008057,,26.681,28.106,11.481875000000002,31.916,31.232,85.637728116,89.05457611400001,95.73481824,107.912605302,97.77183405833333,87.20523834,88.50743103,91.118067264375,81.17666625666666,85.46092478333334,86.87281036666667,92.20341237,92.49039205,97.11609425411766,95.41712327272728
"Hong Kong SAR, China",HKG,97.35318756,98.188591,85.806812285,81.28414154,,6.488,6.725,8.992,7.242,6.701,92.88591003,97.06896973,104.4690704,119.0947571,99.92469025,88.895903014,89.49303713727274,92.0942554475,90.13833236333336,83.176387785,86.68257522833333,90.761644995,90.957472485,97.24401586294118,94.50054792727272
Hungary,HUN,98.91829681,98.84346008,98.94210815,82.56006857,,10.73,11.002,11.713,10.608,9.897,98.09702301,93.05194855,93.28890228,94.28794861,100.6900177125,90.586567688,90.47864324454544,93.070443630625,99.09999847,80.89185078666667,86.49234009,89.31987762,89.42455292,97.37193747176472,93.5839725818182
Iceland,ISL,98.82292938,98.88137817,99.28326416,83.83599559999999,,5.305,5.237,6.655,6.973,6.08,99.11504364,99.38864899,98.39193726,98.53270721,101.455345175,92.277232362,91.46424935181818,94.04663181375,99.04333177833334,78.60731378833334,93.88787842,94.27101135,95.49031067,97.49985908058824,92.66739723636364
India,IND,98.81838989,98.49291992,99.62442017,85.11192263,,30.805,31.195,30.703,28.006,25.763,102.04458237,96.30937195,98.10421753,99.08499908,102.2206726375,93.967897036,92.44985545909093,95.022819996875,98.98666508666668,76.32277679,94.29940541666669,94.22783406333332,94.62360382,97.62778068941176,91.7508218909091
Indonesia,IDN,98.8138504,98.56886164166669,99.48053741833333,86.38784966,,21.738,20.547,21.8,22.455,22.336,104.9741211,104.6110001,103.1429977,103.3820038,102.9860001,95.65856171,93.43546156636364,95.99900818,98.929998395,82.64138793500001,94.71093241333334,94.18465677666666,93.75689697,97.75570229823528,90.83424654545456
"Iran, Islamic Rep.",IRN,98.80931091,98.64480336333334,99.33665466666666,87.66377668999999,,32.091,30.401,29.404,27.468,26.94,102.42552694,97.08075714,98.0490036,101.70326488333332,103.00340046,95.99237941153848,94.42106767363636,96.379107667,98.87333170333332,88.95999908,95.12245941,94.14147949,92.89019012,97.88362390705882,89.9176712
Iraq,IRQ,98.80477142,98.720745085,99.192771915,88.93970372,,21.102,20.2915,20.7535,36.932,16.735,99.87693278,98.85653687,98.5127182,100.02452596666669,103.02080082,96.32619711307692,95.40667378090907,96.759207154,98.81666501166669,88.351998897,94.957500455,93.984268185,92.87815094,98.01154551588236,91.48776626333331
Ireland,IRL,98.80023193,98.79668680666668,99.04888916333331,90.21563075,,10.113,10.182,12.103,7.285,6.53,97.32833862,100.6323166,98.9764328,98.34578705,103.03820118,96.66001481461538,96.39227988818182,97.139306641,98.75999832,87.743998714,94.7925415,93.82705688,92.86611176,98.13946712470587,93.05786132666668
Isle of Man,IMN,98.79569244,98.87262852833334,98.90500641166666,91.49155778,,11.766,12.2335,14.0835,12.0235,10.991499999999998,96.182235715,97.54399491,98.72928238,96.528362275,103.05560154,96.99383251615384,97.37788599545452,97.519406128,98.70333162833332,87.135998531,91.7927742,91.997756955,91.502235415,98.26738873352942,94.62795639
Israel,ISR,98.79115295,98.94857025,98.76112366,92.76748481,,13.419,14.285,16.064,16.762,15.453,95.03613281,94.45567322,98.48213196,94.7109375,103.0730019,97.32765021769232,98.36349210272726,97.899505615,98.64666493666668,86.527998348,88.7930069,90.16845703,90.13835907,98.39531034235294,96.19805145333332
Italy,ITA,99.81510925,99.86678314,99.16287994,94.04341184,,19.356,18.242,19.019,19.768,15.858,98.83190918,98.36759186,98.71849823,98.23879242,103.09040226,97.66146791923076,99.34909821,98.279605102,98.589998245,85.91999816500001,97.21938324,94.85688019,94.72836304,98.52323195117648,97.76814651666666
Jamaica,JAM,92.83731079,64.89733887,98.58997344666666,95.31933887,,26.058,22.908,29.665,26.052,21.79,85.40872192,89.74461365,79.77024078,97.92959404,103.10780262,97.99528562076922,99.37190732454545,98.659704589,98.53333155333334,85.31199798200001,98.0438385,98.36051178,90.08955002,98.65115356,99.33824158
Japan,JPN,94.07175064,79.286270145,98.01706695333334,96.5952659,,2.97,3.14,32.525,29.4505,26.6425,90.74548084666668,92.63740794,86.80615998666666,97.62039566,103.12520298,98.32910332230767,99.3947164390909,99.039804076,98.47666486166666,84.703997799,89.57888794,87.18080139,85.450737,93.340255735,99.36275115111113
Jordan,JOR,95.30619049,93.67520142,97.44416046,97.87119293,,36.519,36.001,35.385,32.849,31.495,96.08223977333334,95.53020223,93.84207919333332,97.31119728,103.14260334,98.66292102384617,99.41752555363637,99.419903563,98.41999817,84.095997616,89.60382843,85.68113708,84.78474426333334,88.02935791,99.38726072222222
Kazakhstan,KAZ,99.1699295,97.14414215,97.903884886,98.012767028,,35.38133333333333,27.834,41.47966666666667,25.791,31.729333333333336,101.4189987,98.42299652,100.8779984,97.0019989,103.1600037,98.99673872538462,99.44033466818182,99.80000305,98.566998292,83.487997433,95.45102692,100.0,84.11875152666667,88.3898983,99.41177029333332
Kenya,KEN,99.2110729175,97.65723419,98.363609312,98.154341126,,34.24366666666667,19.667,47.57433333333333,18.733,31.96366666666667,100.2548866125,98.7936420425,97.929973625,97.3705482475,101.383686095,99.33055642692308,99.46314378272729,99.24292627833331,98.713998414,82.87999725,92.77511597,95.671512605,83.45275879,88.75043869000001,99.43627986444444
Kiribati,KIR,99.252216335,98.17032623,98.823333738,98.295915224,,33.106,52.01,53.669,22.061,32.198,99.090774525,99.164287565,94.98194885,97.739097595,99.60736849,99.66437412846152,99.48595289727272,98.68584950666668,98.860998536,83.54285430571429,90.09920502,91.34302521,82.78676605333334,89.11097908,99.46078943555555
"Korea, Dem. People's Rep.",PRK,99.2933597525,98.68341827,99.283058164,98.437489322,,31.968333333333334,45.544,46.93866666666666,25.389000000000003,32.43233333333333,97.9266624375,99.5349330875,98.091758725,98.1076469425,97.831050885,99.99819183,99.50876201181818,98.128772735,99.007998658,84.20571136142857,87.42329407,87.014537815,82.12077331666667,89.47151947,99.48529900666666
"Korea, Rep.",KOR,99.33450317,99.19651031,99.74278259,98.57906342,,30.830666666666666,39.078,40.208333333333336,28.717,32.66666666666667,96.76255035,99.90557861,101.2015686,98.47619629,96.05473328,98.80000305,99.53157112636364,97.57169596333333,99.15499878,84.86856841714285,84.74738312,82.68605042,81.45478058,89.83205986,99.50980857777778
Kosovo,XKX,93.939517975,96.57562637,92.74296188,97.806544498,,29.693,32.612,33.478,32.045,32.901,97.49003346333332,100.71971894,101.1083781,97.75746409,95.50048828333333,97.428237915,99.5543802409091,97.01461919166668,99.301998902,85.53142547285715,85.59629822,85.08146667666666,85.69538116666666,90.19260025,99.53431814888889
Kuwait,KWT,88.54453278,93.95474243,85.74314117,97.034025576,,23.625,25.545,25.773000000000003,23.97,29.437,98.21751657666668,101.53385927,101.0151876,97.03873189,94.94624328666669,96.05647278,99.57718935545456,96.45754242,99.448999024,86.19428252857143,86.44521332000001,87.47688293333334,89.93598175333334,90.55314064,99.55882772
Kyrgyz Republic,KGZ,98.25276184,97.69109344,97.6644516,96.261506654,,17.557,18.478,18.068,15.895,25.973000000000003,98.94499969,102.3479996,100.9219971,96.31999969,94.39199829,93.8606872575,99.59999847,92.35153412875,99.595999146,86.85713958428572,87.29412842,89.87229919,94.17658234,90.91368103,99.5833372911111
Lao PDR,LAO,82.94812775,82.05267334,98.08782959,95.488987732,,12.727,13.859000000000002,13.3075,12.291,22.509,98.2440033,93.51999664,90.97100067,90.18099976,89.0530014,91.664901735,99.22392517785714,88.2455258375,99.742999268,87.51999664,85.91517258,87.38143539000001,89.68812561,90.706169891,99.60784686222222
Latvia,LVA,96.92711639,96.9702301,98.51120758,94.71646881,,7.897,9.24,8.547,8.687,7.767,98.3991394,98.30753326,98.32875824,98.07154083,98.44830322,89.4691162125,98.84785188571428,84.13951754625,99.88999939,85.68333180666667,84.53621674,84.89057159,85.19966888,90.498658752,99.63235643333331
Lebanon,LBN,84.94776917,84.85858917,86.14943695,92.20973206,,7.920666666666666,23.518,8.915833333333333,9.124833333333331,8.081333333333333,100.18527984,97.537846372,99.537322992,96.245468138,86.52070999,87.27333069,98.47177859357144,80.033509255,99.87999979666668,83.84666697333333,90.53248978,86.46490478166666,85.74283218000001,90.291147613,99.65686600444444
Lesotho,LSO,86.242574695,87.680921934,88.679187775,93.22894941428572,69.90785217,7.944333333333334,35.152,9.284666666666666,9.562666666666669,8.395666666666667,101.97142028,96.768159484,100.745887744,94.419395446,74.59311676,85.9491243375,98.09570530142858,75.92750096374999,99.87000020333332,82.01000214,96.52876282,88.03923797333333,86.28599548,90.083636474,99.68137557555556
Liberia,LBR,87.53738022,90.503254698,91.2089386,94.24816676857142,70.15491367935897,7.968,28.52625,9.6535,10.0005,8.71,103.75756072,95.998472596,101.954452496,92.593322754,77.36208089166666,84.624917985,97.71963200928572,71.8214926725,99.86000061,81.36285945714286,95.796483995,89.613571165,86.82915878,89.87612533500001,99.70588514666667
Libya,LBY,88.832185745,93.325587462,93.738689425,95.26738412285714,70.40197518871794,7.991666666666666,21.9005,10.022333333333334,10.438333333333333,9.024333333333336,105.54370116,95.228785708,103.163017248,90.767250062,80.13104502333333,83.3007116325,97.34355871714286,67.71548438125001,99.85000101666668,80.71571677428571,95.06420517,91.18790435666666,87.37232208,89.66861419600001,99.73039471777778
Liechtenstein,LIE,90.12699127,96.147920226,96.26844025,96.28660147714284,70.64903669807693,8.015333333333333,15.27475,10.391166666666669,10.876166666666666,9.338666666666668,107.3298416,94.45909882,104.371582,88.94117737,82.90000915499999,81.97650528,96.967485425,63.60947609,99.84000142333332,80.06857409142857,94.331926345,92.76223754833332,87.91548537999999,89.461103057,99.7549042888889
Lithuania,LTU,97.67414856,98.97025299,99.54010773,97.30581883142855,70.8960982074359,8.039,8.649,10.76,11.314,9.653,104.2855988,104.2602692,103.6344833,103.0906296,85.66897328666667,80.6522989275,96.59141213285714,59.50346779875,99.83000183,79.42143140857142,93.59964752,94.33657074,88.45864868,89.253591918,99.77941386
Luxembourg,LUX,98.203250885,99.023654935,78.4058075,98.32503618571428,71.14315971679487,5.599,4.775,6.712,9.827,9.969,76.69661713,77.86260223,77.30518341,76.81288147,88.43793741833333,79.328092575,96.2153388407143,55.3974595075,98.47000122,78.77428872571429,90.63117981,88.76686859,90.36112213,89.04608077900001,99.80392343111112
"Macao SAR, China",MAC,98.73235321,99.07705688,99.2248764,99.34425354,71.39022122615384,7.316750000000001,6.43375,10.944666666666668,9.68275,17.2285,95.6222229,90.09615326,90.05455017,95.77777863,91.20690155,78.0038862225,95.83926554857145,51.29145121625,97.11000061,78.12714604285713,81.23300171,79.43496704,82.97884369,88.83856964,99.82843300222224
Madagascar,MDG,31.5692997,98.38749694666669,98.71600341666668,98.84362793,71.63728273551281,9.0345,8.092500000000001,15.177333333333332,9.5385,24.488,63.12284851,60.7599411,59.1629982,63.17200089,59.32899857,76.67967987,95.46319225642856,47.185442925,97.29750061,77.48000336,85.27564748333333,83.75010426666667,87.72466278,90.69494883,99.85294257333334
Malawi,MWI,62.041825295,97.69793701333332,98.20713043333332,98.34300232,71.8843442448718,10.75225,9.75125,19.41,9.39425,17.354,77.765922545,76.29367065,79.70899775,86.5739975,77.21949959,66.3782024375,95.08711896428572,43.07943463375,97.48500061,68.08000183,89.31829325666666,88.06524149333333,92.47048187,92.55132802,99.87745214444443
Malaysia,MYS,92.51435089,97.00837708,97.69825745,97.84237671,72.13140575423077,12.47,11.41,13.63,9.25,10.22,92.40899658,93.65399933,100.2549973,101.0759964,95.11000061,56.076725005,94.71104567214286,38.973426342500005,97.67250061,68.74214444714286,93.36093903,92.38037872,97.21630096,94.40770721,99.90196171555556
Maldives,MDV,94.22429657,97.35337575666668,97.13823191666668,97.3417511,72.37846726358974,19.593,26.27,22.246,9.574666666666667,18.445500000000003,91.47899628,91.7519989,99.43555708,100.20842488666666,95.24829356,45.7752475725,94.33497238,34.867418051250006,97.86000061,69.40428706428571,95.562603,94.29454422,97.306999205,96.1836586,99.92647128666668
Mali,MLI,95.701503755,97.69837443333334,96.57820638333332,96.84112549,72.62552877294871,26.716,30.802,30.862,9.899333333333333,26.671,95.94421769,95.017772675,98.61611686,99.34085337333332,95.38658651,35.47377014,93.95889908785716,30.76140976,96.400001525,70.06642968142857,97.76426697,96.20870972,97.39769745,97.95960999,99.95098085777778
Malta,MLT,97.17871094,98.04337311,96.01818085,96.34049988,72.87259028230768,7.283,8.561,9.296,10.224,6.211,100.4094391,98.28354645,97.79667664,98.47328186,95.52487946,47.454998778,93.58282579571429,43.65869751,94.94000244,70.72857229857144,97.785621644,87.15946198,97.50063324,96.89316886142858,99.97549042888888
Marshall Islands,MHL,96.32406107666668,73.32424927,83.66594696,83.44577789,73.11965179166667,11.675666666666666,42.941,12.06775,39.972,11.054666666666666,85.03266526,117.9664383,113.4912491,109.6999969,94.9475708,59.436227416,93.20675250357144,56.55598526,80.95000076,71.39071491571428,97.806976318,100.0,97.60356903,95.82672773285717,100.0
Mauritania,MRT,95.46941121333332,84.387859345,89.63294983,87.9857076,73.36671330102564,16.06833333333333,44.085,14.8395,35.5915,15.898333333333332,69.65589142,66.28121948,104.67581559,104.259101845,97.37813823333332,71.417456054,92.83067921142856,69.45327301,66.95999908,72.05285753285715,97.828330992,99.31258901,97.70650482,94.76028660428572,98.349485778
Mauritius,MUS,94.61476135,95.45146942,95.5999527,92.52563731,73.61377481038461,20.461,18.078,17.61125,31.211,20.742,98.3227005,97.63047791,95.86038208,98.81820679,99.80870566666668,83.39868469199999,92.45460591928573,82.35056076,92.15000153,72.71500015000001,97.849685666,98.62517802,97.80944061,93.69384547571428,96.698971556
Mexico,MEX,96.95107269,96.52503204,97.9451828,97.06556702,73.86083631974358,18.412,18.299,20.383,18.353,17.317,102.3691177,102.4726563,102.5977173,102.8201981,102.2392731,95.37991333,92.07853262714286,95.24784851,94.63333384333332,73.37714276714286,97.87104034,97.93776703,97.9123764,92.62740434714286,95.048457334
"Micronesia, Fed. Sts.",FSM,95.39258194,94.86690521,96.84287262,96.32755661,74.10789782910257,17.8815,17.6655,17.877,15.78,15.7955,90.28600311,87.56300354,78.53900146,84.93499756,86.80200195,93.41733079764704,91.702459335,96.2317047125,97.11666615666668,74.03928538428572,93.1117897,94.514644625,93.755867,91.56096321857144,93.397943112
Moldova,MDA,93.83409119,93.20877838,95.74056244,95.5895462,74.35495933846154,17.351,17.032,15.371,13.207,14.274,101.8001785,102.4273834,104.1094666,106.3999023,107.6330185,91.45474826529411,91.32638604285717,97.215560915,99.59999847,74.70142800142857,88.35253906,91.09152222,89.5993576,90.49452209,91.74742889
Monaco,MCO,96.21224213,95.15668487333332,93.80957031,96.88215128333331,74.60202084782051,18.1175,17.739,16.936,15.195,14.543,99.501590715,99.56469344,100.57073214,98.5719528,101.710510255,89.49216573294117,90.95031275071428,98.1994171175,99.39333343333334,75.36357061857143,88.45544586,73.29293823,89.531565852,57.80554962,55.0694809
Mongolia,MNG,98.59039307,97.10459136666668,96.1187706,98.17475636666668,74.84908235717948,18.884,18.446,18.501,17.183,14.812,97.20300293,96.70200348,97.03199768,90.7440033,95.78800201,87.52958320058823,90.57423945857144,99.18327332,99.18666839666666,76.02571323571429,88.55835266,73.546282958,89.46377410400001,59.52333746888889,56.96183353388889
Montenegro,MNE,96.42764664,99.05249786,98.42797089,99.46736145,75.09614386653845,16.298,17.345,21.094,20.657,20.133,96.08924103,96.34010315,100.5412064,97.29493713,104.169487,85.5670006682353,90.19816616642858,86.04871877333333,98.98000336,76.68785585285714,88.66125946,73.79962768600001,89.395982356,61.24112531777778,58.85418616777778
Morocco,MAR,94.26490021,95.07421112,91.99337769,97.93305969,75.34320537589744,15.127333333333333,16.157333333333334,19.069333333333333,24.7228,17.72242857142857,91.3554306,94.31922913,96.91558075,100.3005981,101.0282288,83.60441813588236,89.82209287428572,72.91416422666667,97.29750252,77.34999847,88.76416626,74.052972414,89.328190608,62.95891316666667,60.74653880166667
Mozambique,MOZ,41.80585098,43.07117844,92.24537849833334,94.153115843,75.59026688525641,13.956666666666663,14.969666666666669,17.044666666666668,28.7886,15.311857142857145,55.00016022,58.01353073,61.54114914,100.39187924,73.41551208,81.64183560352942,89.44601958214287,59.77960968,95.61500168,73.42499847,88.86707306,74.306317142,89.26039886000001,64.67670101555555,62.63889143555556
Myanmar,MMR,46.11979883090909,47.76086842272727,92.49737930666667,90.373171996,75.83732839461538,12.786,13.782,15.02,32.8544,12.901285714285711,103.5884323,72.74702708666666,72.01334889666667,100.48316038,92.96875764,79.67925307117648,89.06994629,61.60934327736842,93.93250084,69.49999847000001,88.96997986,74.55966187,89.192607112,66.39448886444444,64.53124406944445
Namibia,NAM,50.433746681818185,52.450558405454544,92.749380115,86.593228149,76.08438990397435,31.884,11.4005,12.43325,36.9202,10.490714285714285,100.3201675,87.48052344333334,82.48554865333332,100.57444152,112.5220032,77.71667053882354,86.85058294142857,63.43907687473684,92.25,65.57499847,89.07288666,78.22776985499999,89.124815364,68.11227671333333,66.42359670333333
Nauru,NRU,54.74769453272727,57.14024838818182,93.00138092333331,82.813284302,76.33145141333333,22.598333333333336,9.019,9.8465,40.986,8.080142857142857,99.50910183111112,102.2140198,92.95774841,100.66572266,106.6705017,75.7540880064706,84.63121959285715,65.26881047210526,81.700000765,61.64999847,89.17579346,81.89587784,89.057023616,69.83006456222222,68.31594933722222
Nepal,NPL,59.06164238363637,61.82993837090909,93.25338173166666,79.033340455,76.57851292269231,13.312666666666669,6.6375,7.25975,22.0325,5.669571428571427,98.69803616222222,118.2105103,92.49320983625,100.7570038,100.8190002,73.79150547411764,82.41185624428572,67.09854406947369,71.15000153,57.72499847,89.27870026,85.563985825,88.989231868,71.54785241111111,70.20830197111111
Netherlands,NLD,63.375590234545456,66.51962835363636,93.50538254,75.253396608,76.82557443205128,4.027,4.256,4.673,3.079,3.259,97.88697049333334,107.64150852,92.0286712625,92.802339186,95.784257855,71.8289229417647,80.1924928957143,68.9282776668421,72.7416682811111,53.799998470000006,89.38160706,89.23209381,88.92144012,73.26564026,72.100654605
New Caledonia,NCL,67.68953808545454,71.20931833636364,93.75738334833332,71.473452761,77.07263594141025,32.432,27.912,33.022,7.4595,23.618,97.07590482444444,97.07250674,91.56413268875,84.847674572,90.74951551,69.86634040941176,77.97312954714286,70.75801126421052,74.33333503222222,49.87499847000001,91.8292694125,89.02620983,88.70844840625,74.98342810888889,73.9930072388889
New Zealand,NZL,72.00348593636363,75.89900831909091,94.00938415666668,67.693508914,77.31969745076923,12.05,11.62,12.94,11.84,11.56,96.26483915555556,86.50350496,91.099594115,76.89300995800001,85.714773165,67.90375787705882,75.75376619857144,72.58774486157895,75.92500178333333,45.94999847,94.276931765,88.82032584999999,88.4954566925,76.70121595777778,75.88535987277778
Nicaragua,NIC,76.31743378727273,80.58869830181818,94.261384965,63.913565067,77.5667589601282,15.1615,17.9405,14.666,13.45775,13.615,95.45377348666666,75.93450318000001,90.63505554125,68.938345344,80.68003082,65.94117534470588,73.53440285,74.41747845894737,77.51666853444445,42.02499847000001,96.7245941175,88.61444187,88.28246497875,78.41900380666667,77.77771250666667
Niger,NER,80.63138163818181,85.27838828454546,94.51338577333333,60.13362122,77.81382046948718,18.273,24.261,16.392,15.0755,15.67,94.64270781777778,65.3655014,90.1705169675,60.98368073,52.98791885,63.97859281235294,71.31503950142857,76.24721205631579,79.10833528555555,38.09999847,99.17225647,88.40855789,88.069473265,80.13679165555556,79.67006514055555
Nigeria,NGA,84.94532948909091,89.96807826727273,94.76538658166666,77.010940555,78.06088197884615,21.3845,36.646,18.118,16.69325,13.86,93.83164214888887,77.736427305,89.70597839375,75.93268204,70.722803115,62.01601028,69.09567615285715,78.07694565368422,80.70000203666666,49.947810360000005,96.18444252,88.20267391,87.85648155125,81.85457950444444,81.56241777444444
North Macedonia,MKD,89.25927734,94.65776825,95.01738739,93.88825989,78.30794348820513,24.496,18.669,19.844,18.311,18.427,93.02057648,90.10735321,89.24143982,90.88168335,88.45768738,70.42488956,66.87631280428572,79.90667925105264,82.29166878777778,61.79562225,93.19662857,87.99678993,87.6434898375,83.57236735333333,83.45477040833333
Northern Mariana Islands,MNP,94.328437805,96.9008255,97.121952055,95.47721608666669,78.5550049975641,15.031,12.056,12.998,12.5015,12.326,96.248126985,94.72269058,94.212516785,95.04309082,87.83527883,78.83376884,64.65694945571428,81.73641284842105,83.88333553888889,73.64343414,90.20881462,87.79090595,87.43049812375,85.29015520222222,85.34712304222222
Norway,NOR,99.39759827,99.14388275,99.22651672,97.06617228333332,78.80206650692307,5.566,5.443,6.152,6.692,6.225,99.47567749,99.33802795,99.18359375,99.20449829,87.21287028,87.24264812000001,62.43758610714286,83.56614644578947,85.47500228999999,85.49124603,87.22100067,87.58502197,87.21750641,87.00794305111111,87.23947567611111
