Country Name,Country Code,"Persistence to last grade of primary, total (% of cohort)_2018","Persistence to last grade of primary, total (% of cohort)_2019","Persistence to last grade of primary, total (% of cohort)_2020","Persistence to last grade of primary, total (% of cohort)_2021","Persistence to last grade of primary, total (% of cohort)_2022","Share of youth not in education, employment or training, total (% of youth population)_2018","Share of youth not in education, employment or training, total (% of youth population)_2019","Share of youth not in education, employment or training, total (% of youth population)_2020","Share of youth not in education, employment or training, total (% of youth population)_2021","Share of youth not in education, employment or training, total (% of youth population)_2022","Primary completion rate, total (% of relevant age group)_2018","Primary completion rate, total (% of relevant age group)_2019","Primary completion rate, total (% of relevant age group)_2020","Primary completion rate, total (% of relevant age group)_2021","Primary completion rate, total (% of relevant age group)_2022","Literacy rate, adult total (% of people ages 15 and above)_2018","Literacy rate, adult total (% of people ages 15 and above)_2019","Literacy rate, adult total (% of people ages 15 and above)_2020","Literacy rate, adult total (% of people ages 15 and above)_2021","Literacy rate, adult total (% of people ages 15 and above)_2022","Current education expenditure, total (% of total expenditure in public institutions)_2018","Current education expenditure, total (% of total expenditure in public institutions)_2019","Current education expenditure, total (% of total expenditure in public institutions)_2020","Current education expenditure, total (% of total expenditure in public institutions)_2021","Current education expenditure, total (% of total expenditure in public institutions)_2022"
Barbados,BRB,97.75832875333332,97.672088624,94.81996155,96.01580811,,6.906166666666668,7.582166666666667,7.5615,6.606166666666667,10.0535,86.72277832,82.16412354,94.06900024,100.2442017,91.72370911,75.66813729272727,87.279232025,77.27685546875,77.99573223230769,80.94832102333334,95.91942087666666,95.91969299,97.75396729,96.80525208,98.80114746
Belarus,BLR,98.24884796,98.25681305,98.26396179,95.62319946,,6.203,6.897,6.79,5.476,5.149,96.7565918,99.11107635,95.61006165,93.54051208,93.21389771,77.42407365545455,99.87400055,79.6448135375,79.62858757461538,72.486240385,95.23513539333334,92.44734192,91.59693909,90.81482697,98.46276310428571
Belgium,BEL,76.80454508333334,94.217781065,97.27618408,81.79140344999999,,9.801,9.25,9.994,6.654,7.107,100.61553575,100.938179025,100.402866375,103.23355104,99.484893805,79.18001001818182,94.47317593,82.01277160625,81.26144291692307,64.02415974666667,94.55084991,94.64888763,94.85588074,91.638108575,98.12437874857144
Belize,BLZ,55.36024220666667,90.17874908,96.28840637,67.95960744,,11.14775,24.884,10.4875,7.38125,11.1515,104.4744797,102.7652817,105.1956711,112.92659,105.7558899,80.93594638090909,89.07235131,84.380729675,82.89429825923077,55.562079108333336,93.65789642,94.09950256,95.200000002,92.46139018,97.78599439285716
Benin,BEN,33.91593933,38.76638031,54.11882019,54.12781143,,12.4945,15.863,10.981,8.1085,15.196,97.84465282666667,61.79283142,60.2596817,70.79102325,64.57333374,82.69188274363636,83.67152669000001,86.74868774375,84.52715360153846,47.09999847,92.76494293,93.55011749,95.544119264,93.284671785,97.44761003714284
Bermuda,BMU,55.26272074333333,57.929916383333335,64.340660095,68.52525075,,13.84125,13.134,11.4745,8.83575,16.91,91.21482595333332,68.762916565,71.48683929500001,80.69001007,71.599666595,84.44781910636364,78.27070207,89.1166458125,86.16000894384615,59.59999847,91.87198944,93.00073242,95.888238526,94.10795339,97.10922568142855
Bhutan,BTN,76.60950215666666,77.09345245666667,74.5625,82.92269007,,15.188,10.405,11.968,9.563,18.624,84.58499908,75.73300171,82.71399689,90.58899689,78.62599945,86.20375546909091,72.86987745,91.48460388125,87.79286428615384,72.09999847,90.97903595,92.45134735,96.232357788,94.931234995,96.77084132571429
Bolivia,BOL,97.95628357,96.25698853,84.784339905,97.32012939,,10.834,10.235,13.702,10.976,9.969,94.17327881,90.82820892,92.11218262,89.70597458,96.54411316,87.95969183181818,67.46905283000001,93.85256195,89.42571962846154,85.20000076,90.08608246,91.90196228,96.57647705,95.7545166,96.43245697
Bosnia and Herzegovina,BIH,93.96211243,93.59387207,95.00617981,95.74474335,,22.605,22.598,21.805,19.302,17.623,88.45281982,91.37007904,90.19138336,88.82295227,87.01071167,89.71562819454545,62.06822821000001,92.43232935090909,91.05857497076924,98.30000305,92.36840566,93.61153920333334,96.47380066,95.81245554913043,96.23553498583334
Botswana,BWA,93.78540993,94.4543933875,95.512893678,87.45891762,,23.605,31.985,37.144,35.168,37.003,83.34778086,83.95154317333333,84.87403869666667,88.962524414,82.23954327833334,91.47156455727271,56.667403590000006,91.01209675181818,92.69143031307692,96.495002745,94.65072886,95.32111612666668,96.37112427,95.87039449826088,96.03861300166668
Brazil,BRA,93.60870743,95.314914705,96.019607546,79.17309189,,24.605,23.986,25.992,23.377,20.975,78.2427419,76.53300730666666,79.55669403333333,89.102096558,77.46837488666667,93.22750092,51.266578970000005,89.59186415272727,94.3242856553846,94.69000244,96.93305206,97.03069305,96.26844788,95.92833344739132,95.8416910175
British Virgin Islands,VGB,93.43200493,96.1754360225,96.526321414,70.88726616,,22.6605,22.039,23.7125,21.028,20.4895,73.13770294,69.11447144,74.23934937,89.241668702,72.697206495,95.220806125,45.86575435,88.17163155363636,95.9571409976923,79.64000225,96.35505421666666,96.03785196666666,96.00740306,95.98627239652174,95.64476903333332
