Country Name,Country Code,"Women making their own informed decisions regarding sexual relations, contraceptive use and reproductive health care (% of women age 15-49)_2018","Women making their own informed decisions regarding sexual relations, contraceptive use and reproductive health care (% of women age 15-49)_2019","Women making their own informed decisions regarding sexual relations, contraceptive use and reproductive health care (% of women age 15-49)_2020","Women making their own informed decisions regarding sexual relations, contraceptive use and reproductive health care (% of women age 15-49)_2021","Women making their own informed decisions regarding sexual relations, contraceptive use and reproductive health care (% of women age 15-49)_2022",Political Stability and Absence of Violence/Terrorism: Estimate_2018,Political Stability and Absence of Violence/Terrorism: Estimate_2019,Political Stability and Absence of Violence/Terrorism: Estimate_2020,Political Stability and Absence of Violence/Terrorism: Estimate_2021,Political Stability and Absence of Violence/Terrorism: Estimate_2022,Rule of Law: Estimate_2018,Rule of Law: Estimate_2019,Rule of Law: Estimate_2020,Rule of Law: Estimate_2021,Rule of Law: Estimate_2022,"Internally displaced persons, total displaced by conflict and violence (number of people)_2018","Internally displaced persons, total displaced by conflict and violence (number of people)_2019","Internally displaced persons, total displaced by conflict and violence (number of people)_2020","Internally displaced persons, total displaced by conflict and violence (number of people)_2021","Internally displaced persons, total displaced by conflict and violence (number of people)_2022","Women participating in the three decisions (own health care, major household purchases, and visiting family) (% of women age 15-49)_2018","Women participating in the three decisions (own health care, major household purchases, and visiting family) (% of women age 15-49)_2019","Women participating in the three decisions (own health care, major household purchases, and visiting family) (% of women age 15-49)_2020","Women participating in the three decisions (own health care, major household purchases, and visiting family) (% of women age 15-49)_2021","Women participating in the three decisions (own health care, major household purchases, and visiting family) (% of women age 15-49)_2022",Refugee population by country or territory of asylum_2018,Refugee population by country or territory of asylum_2019,Refugee population by country or territory of asylum_2020,Refugee population by country or territory of asylum_2021,Refugee population by country or territory of asylum_2022,Voice and Accountability: Estimate_2018,Voice and Accountability: Estimate_2019,Voice and Accountability: Estimate_2020,Voice and Accountability: Estimate_2021,Voice and Accountability: Estimate_2022,Control of Corruption: Estimate_2018,Control of Corruption: Estimate_2019,Control of Corruption: Estimate_2020,Control of Corruption: Estimate_2021,Control of Corruption: Estimate_2022,Losses due to theft and vandalism (% of annual sales for affected firms)_2018,Losses due to theft and vandalism (% of annual sales for affected firms)_2019,Losses due to theft and vandalism (% of annual sales for affected firms)_2020,Losses due to theft and vandalism (% of annual sales for affected firms)_2021,Losses due to theft and vandalism (% of annual sales for affected firms)_2022,Government Effectiveness: Estimate_2018,Government Effectiveness: Estimate_2019,Government Effectiveness: Estimate_2020,Government Effectiveness: Estimate_2021,Government Effectiveness: Estimate_2022,Proportion of seats held by women in national parliaments (%)_2018,Proportion of seats held by women in national parliaments (%)_2019,Proportion of seats held by women in national parliaments (%)_2020,Proportion of seats held by women in national parliaments (%)_2021,Proportion of seats held by women in national parliaments (%)_2022,Net migration_2018,Net migration_2019,Net migration_2020,Net migration_2021,Net migration_2022
India,IND,34.31111111111111,,36.75365853658536,65.6,67.53529411764706,-0.997705162,-0.796840608,-0.841136158,-0.691997945,-0.568608165,-0.000957083,-0.06662368,-0.057718564,-0.108277,0.114700042,479000.0,470000.0,473000.0,506000.0,547000.0,51.46666666666667,,45.21463414634147,73.3,61.488888888888894,195887.0,195103.0,195373.0,212413.0,242835.0,0.360433936,0.268094271,0.126321062,0.090988867,0.050905809,-0.229412422,-0.302205294,-0.29291603,-0.316493511,-0.321810871,3.0760000000000005,1.8111111111111111,0.5307692307692308,1.1905660377358491,6.7,0.262748897,0.130844653,0.375041097,0.25085631,0.370331407,11.80811808,14.39114391,14.36464088,14.44444444,14.94464945,-561563.0,-593495.0,-34772.0,-301970.0,-487303.0
Indonesia,IDN,36.7,,37.71219512195122,65.8206896551724,67.30735294117648,-0.552077413,-0.502156675,-0.462322682,-0.531467199,-0.439423859,-0.313785791,-0.346690059,-0.362381369,-0.253610879,-0.188954651,13000.0,37000.0,42000.0,73000.0,69000.0,54.1,,46.24878048780488,73.3551724137931,61.88148148148149,10786.0,10287.0,10114.0,9982.0,9785.0,0.162236914,0.13128832,0.099133357,0.149607942,0.141518742,-0.299459815,-0.473180324,-0.454076618,-0.449074686,-0.434910655,3.228,2.0666666666666664,0.523076923076923,1.1962264150943396,10.033333333333331,0.141279012,0.138761014,0.317363322,0.347363114,0.436999291,19.82142857,17.39130435,20.34782609,21.04347826,21.91304348,-39878.0,-40567.0,-24999.0,-14992.0,-49997.0
"Iran, Islamic Rep.",IRN,39.08888888888889,,38.670731707317074,66.04137931034482,67.07941176470588,-1.342144251,-1.711465359,-1.699162006,-1.584384561,-1.586439133,-0.712358296,-0.770798504,-0.886475205,-0.966126442,-1.017072082,987500.0,785000.0,633000.0,630000.0,619000.0,56.73333333333333,,47.28292682926829,73.4103448275862,62.27407407407408,979435.0,979435.0,800025.0,798343.0,3425091.0,-1.330449224,-1.386406064,-1.476000071,-1.467778921,-1.45943284,-0.984159291,-1.071325779,-1.110736609,-1.11569345,-1.126372814,3.3800000000000003,2.322222222222222,0.5153846153846153,1.2018867924528305,13.366666666666667,-0.478516161,-0.599489987,-1.017133236,-0.886557579,-0.882116675,5.882352941,5.882352941,5.594405594,5.594405594,5.594405594,-29981.0,-34571.0,-156669.0,28080.0,-39998.0
Iraq,IRQ,41.477777777777774,,39.62926829268292,66.26206896551723,66.85147058823529,-2.520958185,-2.609148026,-2.474690437,-2.384559393,-2.473924637,-1.800899744,-1.771152735,-1.798078537,-1.748872519,-1.750573039,1962000.0,1533000.0,1224000.0,1187000.0,1169000.0,59.36666666666666,,48.31707317073171,73.4655172413793,62.66666666666667,283018.0,273986.0,270377.0,280072.0,273716.0,-0.999588847,-0.964265943,-1.007279754,-0.96300292,-0.948201418,-1.458062291,-1.389802694,-1.334123492,-1.268725276,-1.212934136,3.5320000000000005,2.577777777777777,0.5076923076923077,1.207547169811321,16.7,-1.266859174,-1.310656309,-1.302935362,-1.319648147,-1.301915407,25.22796353,25.22796353,26.443769,28.87537994,28.87537994,6660.0,-29880.0,71539.0,-60097.0,-6000.0
Ireland,IRL,43.86666666666666,,40.58780487804878,66.48275862068965,66.62352941176471,1.011168242,0.95930326,0.965446055,0.84353143,0.881889522,1.412387013,1.347805619,1.456939459,1.493408203,1.527414441,1762000.0,1380666.6666666667,1109111.111111111,1076222.2222222222,1022890.0,62.0,,49.35121951219512,73.52068965517242,63.059259259259264,6012.0,7795.0,9035.0,9571.0,81256.0,1.295465827,1.303199172,1.389508367,1.418249011,1.449507833,1.534681678,1.458833456,1.535135031,1.61967814,1.674448371,3.6840000000000006,2.833333333333333,0.5,1.2132075471698114,16.5,1.378235579,1.257655025,1.435749292,1.465444922,1.549138188,22.15189873,22.15189873,22.5,22.5,23.125,33647.0,29113.0,15320.0,15320.0,9999.0
Isle of Man,IMN,46.25555555555555,,41.54634146341464,66.70344827586206,66.39558823529411,0.046530813,0.07187143,0.038817704,-0.1393755374999999,-0.2017132339999998,1.1863341625,1.1799446345,1.196541041,1.200179577,1.236331582,1562000.0,1228333.3333333333,994222.2222222222,965444.4444444444,876780.0,64.63333333333333,,50.38536585365854,73.57586206896552,63.451851851851856,12283.0,11951.0,5439.0,5381.0,41231.5,0.9630488755,0.9810183345,1.0205337405,1.0463137625,1.061921686,1.14422676,1.116473615,1.03603524,1.2246473435,1.2277436855,3.8360000000000007,3.088888888888889,0.5565217391304348,1.2188679245283018,16.3,1.273788691,1.273199618,1.244111359,1.3590536115,1.392851293,24.825949365,22.74261603,25.0,25.416666665,23.229166665,272.0,239.0,235.0,517.0,340.0
Israel,ISR,48.644444444444446,,42.50487804878048,66.92413793103448,66.16764705882352,-0.918106616,-0.8155604,-0.887810647,-1.122282505,-1.28531599,0.960281312,1.01208365,0.936142623,0.906950951,0.945248723,1362000.0,1076000.0,879333.3333333333,854666.6666666666,730670.0,67.26666666666667,,51.41951219512195,73.63103448275862,63.84444444444445,18554.0,16107.0,1843.0,1191.0,1207.0,0.630631924,0.658837497,0.651559114,0.674378514,0.674335539,0.753771842,0.774113774,0.536935449,0.829616547,0.781039,3.988,3.344444444444444,0.6130434782608696,1.2245283018867923,16.099999999999998,1.169341803,1.288744211,1.052473426,1.252662301,1.236564398,27.5,23.33333333,27.5,28.33333333,23.33333333,15615.0,16132.0,16569.0,16856.0,9999.0
Italy,ITA,51.03333333333333,,43.46341463414634,67.14482758620689,65.93970588235294,0.32613951,0.381040454,0.39929536,0.550413907,0.413505375,0.240896881,0.273004681,0.207708836,0.240628809,0.297009468,1162000.0,923666.6666666666,764444.4444444445,743888.8888888889,584560.0,69.9,,52.453658536585365,73.68620689655172,64.23703703703704,189227.0,207602.0,128033.0,144862.0,296181.0,0.963564575,0.905116975,1.054666638,1.084909081,1.070305943,0.215928152,0.234261185,0.50986433,0.517414451,0.527781725,4.140000000000001,3.6,0.6695652173913044,1.2301886792452832,15.9,0.409032583,0.451061338,0.360985458,0.326035768,0.449057072,35.71428571,35.71428571,35.71428571,35.71428571,32.25,75863.0,21615.0,28021.0,28021.0,58496.0
Jamaica,JAM,53.42222222222222,,44.4219512195122,67.36551724137931,65.71176470588235,0.423851728,0.388235539,0.258638471,0.217914656,0.379746348,-0.217798144,-0.310624003,-0.239620462,-0.196268678,-0.071926758,962000.0,771333.3333333333,649555.5555555555,633111.1111111111,438450.0,72.53333333333333,,53.487804878048784,73.74137931034483,64.62962962962963,13.0,104532.5,27.0,31.0,31.0,0.593458533,0.613028824,0.625461519,0.620010316,0.588516116,-0.230746984,-0.113833971,-0.046545755,-0.052980192,-0.023381542,4.292000000000001,2.7666666666666666,0.7260869565217392,1.2358490566037736,15.7,0.595471442,0.58901006,0.528976262,0.378315657,0.604482174,17.46031746,17.46031746,28.57142857,28.57142857,28.57142857,-11329.0,-11329.0,0.0,-5664.0,-10999.0
Japan,JPN,55.8111111111111,,45.38048780487805,67.58620689655172,65.48382352941177,1.037358642,1.019695044,1.026066899,1.015356421,1.073910952,1.494167566,1.497002721,1.473686934,1.540563464,1.558240294,762000.0,619000.0,534666.6666666666,522333.33333333326,292340.0,75.16666666666666,,54.5219512195122,73.79655172413793,65.02222222222223,1893.0,1463.0,1132.0,1508.0,15451.0,0.994752228,0.929792583,0.983319521,1.066730976,1.017067313,1.388648033,1.431167245,1.463934183,1.5360502,1.539971828,4.444000000000001,1.9333333333333331,0.7826086956521738,1.241509433962264,15.5,1.634688139,1.550190926,1.547667146,1.362755299,1.619746804,10.10752688,10.10752688,9.892473118,9.677419355,9.913793103,177470.0,183953.0,87584.0,87584.0,99994.0
