Country Name,Country Code,"Women making their own informed decisions regarding sexual relations, contraceptive use and reproductive health care (% of women age 15-49)_2018","Women making their own informed decisions regarding sexual relations, contraceptive use and reproductive health care (% of women age 15-49)_2019","Women making their own informed decisions regarding sexual relations, contraceptive use and reproductive health care (% of women age 15-49)_2020","Women making their own informed decisions regarding sexual relations, contraceptive use and reproductive health care (% of women age 15-49)_2021","Women making their own informed decisions regarding sexual relations, contraceptive use and reproductive health care (% of women age 15-49)_2022",Political Stability and Absence of Violence/Terrorism: Estimate_2018,Political Stability and Absence of Violence/Terrorism: Estimate_2019,Political Stability and Absence of Violence/Terrorism: Estimate_2020,Political Stability and Absence of Violence/Terrorism: Estimate_2021,Political Stability and Absence of Violence/Terrorism: Estimate_2022,Rule of Law: Estimate_2018,Rule of Law: Estimate_2019,Rule of Law: Estimate_2020,Rule of Law: Estimate_2021,Rule of Law: Estimate_2022,"Internally displaced persons, total displaced by conflict and violence (number of people)_2018","Internally displaced persons, total displaced by conflict and violence (number of people)_2019","Internally displaced persons, total displaced by conflict and violence (number of people)_2020","Internally displaced persons, total displaced by conflict and violence (number of people)_2021","Internally displaced persons, total displaced by conflict and violence (number of people)_2022","Women participating in the three decisions (own health care, major household purchases, and visiting family) (% of women age 15-49)_2018","Women participating in the three decisions (own health care, major household purchases, and visiting family) (% of women age 15-49)_2019","Women participating in the three decisions (own health care, major household purchases, and visiting family) (% of women age 15-49)_2020","Women participating in the three decisions (own health care, major household purchases, and visiting family) (% of women age 15-49)_2021","Women participating in the three decisions (own health care, major household purchases, and visiting family) (% of women age 15-49)_2022",Refugee population by country or territory of asylum_2018,Refugee population by country or territory of asylum_2019,Refugee population by country or territory of asylum_2020,Refugee population by country or territory of asylum_2021,Refugee population by country or territory of asylum_2022,Voice and Accountability: Estimate_2018,Voice and Accountability: Estimate_2019,Voice and Accountability: Estimate_2020,Voice and Accountability: Estimate_2021,Voice and Accountability: Estimate_2022,Control of Corruption: Estimate_2018,Control of Corruption: Estimate_2019,Control of Corruption: Estimate_2020,Control of Corruption: Estimate_2021,Control of Corruption: Estimate_2022,Losses due to theft and vandalism (% of annual sales for affected firms)_2018,Losses due to theft and vandalism (% of annual sales for affected firms)_2019,Losses due to theft and vandalism (% of annual sales for affected firms)_2020,Losses due to theft and vandalism (% of annual sales for affected firms)_2021,Losses due to theft and vandalism (% of annual sales for affected firms)_2022,Government Effectiveness: Estimate_2018,Government Effectiveness: Estimate_2019,Government Effectiveness: Estimate_2020,Government Effectiveness: Estimate_2021,Government Effectiveness: Estimate_2022,Proportion of seats held by women in national parliaments (%)_2018,Proportion of seats held by women in national parliaments (%)_2019,Proportion of seats held by women in national parliaments (%)_2020,Proportion of seats held by women in national parliaments (%)_2021,Proportion of seats held by women in national parliaments (%)_2022,Net migration_2018,Net migration_2019,Net migration_2020,Net migration_2021,Net migration_2022
Jordan,JOR,58.2,,46.3390243902439,67.80689655172414,65.25588235294117,-0.379783809,-0.274439603,-0.267881632,-0.315793395,-0.296307683,0.231556088,0.132585108,0.18873316,0.182648703,0.217172459,562000.0,466666.6666666665,419777.77777777775,411555.5555555555,146230.0,77.8,,55.556097560975616,73.85172413793103,65.41481481481482,2957875.0,2966079.0,3009472.0,3047612.0,3062851.0,-0.717258751,-0.695054591,-0.747199893,-0.790810168,-0.794852614,0.123943955,0.080424912,0.038551886,0.026834955,0.073047176,4.596,1.1,0.8391304347826087,1.2471698113207548,15.3,0.095298931,0.074895501,0.095135003,0.195509046,0.194713801,15.38461538,15.38461538,11.53846154,11.53846154,12.30769231,33554.0,28963.0,18092.0,14374.0,-141192.0
Kazakhstan,KAZ,55.900000000000006,,47.29756097560976,68.02758620689654,65.02794117647059,-0.052698813,-0.167979881,-0.257630289,-0.231327519,-0.356833428,-0.503434122,-0.509888172,-0.466539711,-0.508473933,-0.474393338,362000.0,314333.33333333326,304888.8888888889,300777.7777777777,120.0,74.8695652173913,,56.59024390243903,73.90689655172415,65.80740740740741,568.0,518.0,440.0,352.0,308.0,-1.200016856,-1.230161667,-1.181037664,-1.130985618,-1.066738844,-0.49207738,-0.285695314,-0.377906501,-0.259159893,-0.185301155,4.748000000000001,4.1,0.8956521739130434,1.2528301886792454,15.1,-0.042007547,0.068959303,0.106133707,0.030397773,0.143430486,27.10280374,27.10280374,27.10280374,27.10280374,27.35849057,-31760.0,-37080.0,-12432.0,-18917.0,0.0
Kenya,KEN,53.6,,48.2560975609756,68.24827586206897,64.8,-1.179692149,-1.105736017,-1.007226825,-1.032414198,-0.94308722,-0.4276537,-0.464465976,-0.577875257,-0.421999156,-0.321951181,162000.0,162000.0,190000.0,190000.0,30000.0,71.93913043478261,,57.62439024390244,73.96206896551725,66.2,421243.0,438899.0,452916.0,481048.0,504473.0,-0.374979466,-0.307872742,-0.342688382,-0.363395393,-0.208831713,-0.862696052,-0.807418883,-0.876583576,-0.735883415,-0.759701312,4.9,5.38,0.9521739130434784,1.258490566037736,14.9,-0.493594706,-0.441803724,-0.398768902,-0.324745864,-0.300569445,21.7765043,21.7765043,21.7765043,21.61383285,23.42857143,-115434.0,-61946.0,-17106.0,-52549.0,-10000.0
Kiribati,KIR,51.3,,49.21463414634147,68.46896551724137,64.74054054054054,0.998590291,1.124233007,1.163732648,1.13891089,1.11602664,0.576801479,0.817287028,1.009463787,0.884038448,0.622419,125500.0,125500.0,146500.0,146500.0,26500.0,69.00869565217391,,58.65853658536586,74.01724137931035,65.70270270270271,281792.0,293664.6666666666,303091.6666666666,321885.0,337590.3333333334,1.123436809,1.074077964,1.115723491,1.123882055,1.093916893,0.348221093,0.367132217,0.467345566,0.28176564,0.236564711,4.5285714285714285,6.66,1.008695652173913,1.2641509433962264,14.7,-0.064019941,-0.051552676,0.135919511,0.094407447,0.167575598,6.52173913,6.52173913,8.888888889,6.666666667,6.666666667,-776.0,-691.0,-296.0,-296.0,-400.0
"Korea, Dem. People's Rep.",PRK,49.0,,50.17317073170732,68.6896551724138,64.68108108108108,-0.340751916,-0.286907196,-0.378693789,-0.477292448,-0.412224323,-1.64309454,-1.661251783,-1.608651996,-1.634662986,-1.661086679,89000.0,89000.0,103000.0,103000.0,23000.0,66.07826086956521,,59.69268292682927,74.07241379310345,65.20540540540541,142341.0,148430.3333333333,153267.3333333333,162722.0,170707.6666666667,-2.21095252,-2.206310749,-2.154896021,-2.06180954,-2.021923304,-1.587844968,-1.609050989,-1.703108072,-1.622233987,-1.60609889,4.1571428571428575,7.939999999999999,1.0652173913043477,1.269811320754717,14.5,-1.606077194,-1.434507608,-1.49044621,-1.584925175,-1.462985516,16.30276565,17.61280932,17.61280932,17.61280932,17.61280932,-3223.0,-3139.0,-1589.0,-1589.0,-2000.0
"Korea, Rep.",KOR,46.7,,51.131707317073165,68.9103448275862,64.62162162162161,0.638081014,0.546021044,0.608559489,0.629525959,0.56241101,1.199627161,1.156710029,1.147331357,1.096293449,1.159703135,52500.0,52500.0,59500.0,59500.0,19500.0,63.14782608695652,,60.72682926829268,74.12758620689655,64.7081081081081,2890.0,3196.0,3443.0,3559.0,3825.0,0.798121333,0.751704931,0.822011471,0.932049394,0.872202396,0.573121369,0.705077529,0.698436558,0.733705759,0.748461604,3.7857142857142856,9.22,1.1217391304347826,1.2754716981132077,14.3,1.135347366,1.33259666,1.370355129,1.367321134,1.349573493,17.0,16.66666667,19.0,19.0,18.6440678,118642.0,110799.0,0.0,43440.0,29998.0
Kosovo,XKX,44.400000000000006,,52.09024390243902,69.13103448275862,64.56216216216215,-0.675402105,-0.348640084,-0.279240251,-0.113625251,-0.252448589,-0.383673996,-0.409505546,-0.40494585,-0.300333023,-0.366031259,16000.0,16000.0,16000.0,16000.0,16000.0,60.21739130434783,,61.7609756097561,74.18275862068965,64.21081081081081,1780.5,1941.0,2087.5,2139.5,2254.5,-0.137490571,-0.116008624,-0.159918711,-0.083772555,-0.057891659,-0.527982175,-0.541139305,-0.463044196,-0.341269404,-0.263794988,3.4142857142857146,10.5,1.1782608695652177,1.2811320754716982,14.1,-0.444479346,-0.37010777,-0.332664609,-0.257235944,-0.194389582,10.0384615385,10.6410256425,12.6746031745,10.269230769,12.4470339,-34137.0,-33469.0,-15050.0,-15050.0,-5000.0
Kuwait,KWT,42.1,,53.04878048780488,69.35172413793103,64.5027027027027,0.090533733,0.175113589,0.225190043,0.262982517,0.281217426,0.185752928,0.192158148,0.308871776,0.240280911,0.280016601,15000.0,8385.0,8385.0,12810.0,10000.0,57.28695652173913,,62.79512195121952,74.23793103448276,63.71351351351352,671.0,686.0,732.0,720.0,684.0,-0.604680121,-0.655357838,-0.678563237,-0.704744577,-0.685681581,-0.316699147,-0.159434482,-0.091735229,-0.056274436,0.1270307,3.0428571428571427,8.2,1.2347826086956522,1.2867924528301886,13.9,-0.121309355,-0.017272087,-0.19505249,-0.073153965,0.112373598,3.076923077,4.615384615,6.349206349,1.538461538,6.25,144967.0,9088.0,-254177.0,-36843.0,11999.0
Kyrgyz Republic,KGZ,39.8,,54.00731707317073,69.57241379310345,64.44324324324324,-0.529558122,-0.266192228,-0.456187993,-0.467156112,-0.546579063,-0.928147078,-0.913639009,-0.959660351,-1.098847032,-1.147808433,14000.0,770.0,770.0,9620.0,4000.0,54.35652173913044,,63.82926829268293,74.29310344827586,63.21621621621622,329.0,347.0,334.0,317.0,274.0,-0.354460329,-0.453596801,-0.577681243,-0.590770304,-0.723176777,-0.960398018,-0.959891975,-1.124469995,-1.149718881,-1.230028629,2.6714285714285717,5.9,1.2913043478260868,1.2924528301886793,13.7,-0.646391749,-0.731642365,-0.576527297,-0.776597917,-0.889000654,19.16666667,19.16666667,16.52173913,20.45454545,20.45454545,-30717.0,-34270.0,-14307.0,-16510.0,-9999.0
Lao PDR,LAO,37.5,,54.96585365853658,69.79310344827586,64.38378378378378,0.407829285,0.530268252,0.693885386,0.71241802,0.80272752,-0.863172948,-0.968699157,-0.880950749,-0.663793445,-0.805023313,13000.0,2846.6666666666665,2846.6666666666665,6430.0,25833.33333333333,51.42608695652174,,64.86341463414635,74.34827586206897,62.71891891891893,496.5,506.0,485.5,511.0,19664.5,-1.750232816,-1.8155756,-1.792621255,-1.67815423,-1.656626701,-0.997076809,-1.076368928,-1.08248508,-1.054846048,-0.965779126,2.3,3.4000000000000004,1.3478260869565215,1.29811320754717,13.5,-0.723398149,-0.816826344,-0.738060236,-0.615879834,-0.595122039,27.51677852,27.51677852,27.51677852,21.95121951,21.95121951,-10303.0,-10303.0,-10303.0,-10303.0,-9999.0
Latvia,LVA,35.2,,55.92439024390244,70.01379310344828,64.32432432432432,0.395304829,0.426793516,0.462128848,0.673323035,0.480724365,0.923249125,0.979363859,0.922364891,0.950110793,0.921995938,12000.0,4923.333333333333,4923.333333333333,3240.0,47666.66666666666,48.49565217391304,,65.89756097560976,74.40344827586208,62.22162162162162,664.0,665.0,637.0,705.0,39055.0,0.792103887,0.855667293,0.869215667,0.896955788,0.933728397,0.297805101,0.480807155,0.693269372,0.720862389,0.693852961,2.519230769230769,0.9,1.4043478260869566,1.3037735849056604,13.3,1.000428557,1.065833807,0.838279903,0.834164917,0.691895127,31.0,30.0,30.0,29.0,30.0,-8632.0,-7903.0,-7381.0,-6815.0,-8466.0
Lebanon,LBN,32.9,,56.88292682926829,70.23448275862069,64.26486486486486,-1.621535778,-1.67229104,-1.62113452,-1.481944561,-1.473512411,-0.782223165,-0.852389216,-0.905710816,-1.091359019,-1.10264194,11000.0,7000.0,7000.0,50.0,69500.0,45.56521739130435,,66.93170731707318,74.45862068965518,61.72432432432433,1424728.0,1392174.0,1349925.0,1328541.0,1306143.0,-0.513791621,-0.515705645,-0.555211604,-0.627343535,-0.630593657,-1.132698298,-1.168795824,-1.179467916,-1.248038173,-1.126894951,2.7384615384615385,9.1,1.4608695652173913,1.3094339622641509,13.1,-0.673814237,-0.809006751,-1.204863071,-1.311697364,-1.458655715,4.6875,4.6875,4.6875,4.6875,6.25,-233520.0,-237572.0,-115146.0,-115122.0,-160237.0
Lesotho,LSO,30.6,,57.84146341463415,70.45517241379311,64.2054054054054,-0.188686535,-0.427999049,-0.253533632,-0.213269129,-0.134738371,-0.366134912,-0.424627781,-0.487081766,-0.42984879,-0.48737219,69666.66666666666,141666.66666666666,97333.33333333331,53366.66666666666,91333.33333333331,42.63478260869566,,67.96585365853659,74.51379310344828,61.22702702702703,56.0,143.0,271.0,296.0,251.0,0.008875524,-0.011649566,-0.005604757,-0.01354558,0.051385432,-0.136426091,-0.123688802,-0.141579404,-0.346612543,-0.357248217,2.9576923076923074,7.46,1.517391304347826,1.3150943396226416,12.9,-0.922438741,-0.902621508,-0.979480028,-0.948357463,-0.890573919,22.13114754,23.33333333,23.33333333,23.33333333,26.44628099,-3234.0,-2989.0,-1490.0,-1490.0,-4000.0
Liberia,LBR,28.3,,58.8,70.67586206896551,64.14594594594594,-0.203764617,-0.339135408,-0.314182639,-0.286361516,-0.29159987,-1.001456499,-1.005297542,-1.035418153,-0.942568839,-0.915244639,128333.33333333331,276333.3333333333,187666.66666666663,106683.33333333331,113166.66666666666,39.70434782608696,,69.0,74.56896551724138,60.72972972972973,9103.0,8225.0,8213.0,8169.0,620.0,-0.027022187,-0.07451874,-0.072171874,-0.017524421,-0.018905915,-0.871749878,-0.919094324,-0.905724645,-0.939240754,-0.926501334,3.1769230769230767,5.82,1.5739130434782609,1.3207547169811322,12.7,-1.322998405,-1.395070314,-1.460012197,-1.410380125,-1.438253641,12.32876712,12.32876712,12.32876712,10.95890411,10.95890411,-23226.0,-19697.0,-10119.0,-11862.0,-5000.0
Libya,LBY,26.0,,59.62941176470588,70.89655172413794,64.08648648648648,-2.43496871,-2.565771341,-2.462278366,-2.308345795,-2.197963476,-1.690319538,-1.762513995,-1.880337238,-1.803972363,-1.802445412,187000.0,411000.0,278000.0,160000.0,135000.0,36.77391304347827,,68.982,74.62413793103448,60.23243243243243,8792.0,4730.0,4149.0,3141.0,2208.0,-1.533678532,-1.476601958,-1.359578609,-1.460464597,-1.387824893,-1.530136466,-1.575015187,-1.583956599,-1.584494829,-1.52597928,3.396153846153846,4.18,1.6304347826086956,1.326415094339623,12.5,-1.685230255,-1.774134755,-1.858802319,-1.747464895,-1.754914165,15.95744681,15.95744681,15.95744681,15.95744681,16.47058824,5835.0,-1352.0,-696.0,-696.0,-2000.0
Liechtenstein,LIE,23.7,,60.45882352941176,71.11724137931034,64.02702702702703,1.453585505,1.597493172,1.669110894,1.595491529,1.644336104,1.634831667,1.636691809,1.716376781,1.704547763,1.720416307,150000.0,329100.0,222700.0,128560.0,108560.0,33.84347826086957,,68.964,74.67931034482758,59.73513513513514,166.0,125.0,129.0,133.0,524.0,1.296678185,1.227932572,1.259173274,1.329378724,1.371997356,1.958546758,1.92107594,1.959424734,1.665377736,1.714327097,3.615384615384615,2.54,1.6869565217391305,1.3320754716981131,12.3,1.689023972,1.650509238,1.761801004,1.46519196,1.487835884,12.0,12.0,12.0,28.0,28.0,193.0,178.0,189.0,231.0,150.0
Lithuania,LTU,21.4,,61.28823529411765,71.33793103448276,63.96756756756756,0.729063928,0.77052319,0.921403408,0.80971843,0.653739512,0.923340857,0.986618876,0.950274825,1.074934721,1.060279012,113000.0,247200.0,167400.0,97120.0,82120.0,30.913043478260875,,68.946,74.7344827586207,59.23783783783784,1731.0,1822.0,1880.0,1880.0,67638.0,0.901689649,0.994766891,1.004444122,1.030862808,1.063804269,0.466333061,0.666612506,0.778642654,0.824829578,0.747045457,3.834615384615384,0.9,1.7434782608695651,1.3377358490566038,12.1,1.031653762,1.007766724,1.015032411,1.018737197,0.994318783,21.27659574,21.27659574,26.95035461,27.65957447,28.36879433,-14451.0,-13398.0,-12625.0,-11853.0,-15192.0
Luxembourg,LUX,19.1,,62.11764705882353,71.55862068965517,63.90810810810811,1.347255111,1.333174944,1.212395668,1.193919539,1.063888907,1.768349648,1.750148296,1.738464713,1.748023629,1.769147038,76000.0,165300.0,112100.0,65680.0,55680.0,27.982608695652186,,68.928,74.7896551724138,58.74054054054054,2020.0,2548.0,5158.0,6011.0,11952.0,1.542608619,1.491490364,1.497230649,1.495927095,1.53623879,2.04786849,2.072511673,2.023770571,1.841181636,1.8836025,4.053846153846154,0.9875,1.8,1.3433962264150945,11.9,1.73642695,1.695631146,1.792817235,1.679036856,1.772715092,20.0,25.0,30.0,35.0,33.33333333,10096.0,10365.0,6952.0,6949.0,5222.0
"Macao SAR, China",MAC,16.799999999999997,,62.94705882352941,71.77931034482759,63.84864864864865,1.229578137,1.215290904,1.137468815,1.028874636,1.127567887,0.971920669,0.882088602,0.812058628,0.780774713,0.791746438,39000.0,83400.0,56800.0,34240.0,29240.0,25.05217391304348,,68.91,74.8448275862069,58.24324324324324,1029.5,1330.5,2635.0,3088.0,6035.5,-0.068354689,-0.325315744,-0.290054917,-0.534086645,-0.531910479,0.675081074,0.665671945,0.770509839,0.815776765,0.868675053,4.273076923076923,1.075,1.7521739130434784,1.349056603773585,11.7,1.158082008,1.125267744,1.075224519,1.084040165,1.105333328,19.602649005,20.44701987,23.94039735,26.44039735,25.938189845000004,8219.0,8578.0,8441.0,4004.0,5000.0
Madagascar,MDG,14.5,,63.77647058823529,72.0,63.78918918918919,-0.578839123,-0.313983828,-0.509343922,-0.54227978,-0.531038582,-0.836624086,-1.013272643,-0.879376113,-0.885180354,-0.942355335,2000.0,1500.0,1500.0,2800.0,2800.0,22.12173913043479,,68.892,74.9,57.74594594594595,39.0,113.0,112.0,165.0,119.0,-0.32132712,-0.234669492,-0.261799514,-0.273578018,-0.287314951,-1.020541787,-1.052205682,-1.009642959,-0.952458918,-1.008650899,4.492307692307692,1.1625,1.7043478260869565,1.3547169811320754,11.5,-1.212072134,-1.193292379,-1.052760601,-1.027718067,-0.987728238,19.20529801,15.89403974,17.8807947,17.8807947,18.54304636,485.0,-1487.0,-742.0,-742.0,-1500.0
Malawi,MWI,12.199999999999996,,64.60588235294118,65.32857142857142,63.729729729729726,-0.431270897,-0.286847949,-0.118913285,-0.109315783,-0.15286392,-0.405376077,-0.343976617,-0.278625727,-0.249046683,-0.218995497,31500.0,53125.0,82625.0,83600.0,97100.0,19.19130434782609,,68.874,72.07142857142858,57.24864864864865,13783.0,14087.0,14892.0,21529.0,35162.0,-0.075617775,-0.110343345,0.004117197,0.07454396,0.068959244,-0.765652001,-0.785404325,-0.392753959,-0.323193759,-0.61048007,4.711538461538462,1.25,1.6565217391304348,1.360377358490566,11.335483870967742,-0.801292062,-0.798726916,-0.818331599,-0.792836785,-0.840930998,16.66666667,22.91666667,22.91666667,22.91666667,22.91666667,-3706.0,-2228.0,-1775.0,-1775.0,-6000.0
Malaysia,MYS,9.9,,65.43529411764706,58.65714285714286,63.67027027027027,0.247989401,0.146066397,0.124463096,0.058753986,0.140358165,0.529128134,0.491362244,0.572214603,0.532973886,0.561897993,61000.0,104750.0,163750.0,164400.0,191400.0,16.260869565217398,,68.856,69.24285714285715,56.75135135135135,121305.0,129102.0,129902.0,132086.0,134554.0,-0.100061126,-0.047836483,-0.155352876,-0.165285885,-0.002093449,0.300330877,0.233307585,0.229109854,0.146786317,0.249183893,4.930769230769231,1.3375,1.608695652173913,1.3660377358490567,11.170967741935485,1.053842545,0.967821717,1.02247262,0.95354408,0.993270576,13.90134529,14.41441441,14.86486486,14.86486486,13.57466063,60604.0,60824.0,57483.0,46165.0,48997.0
Maldives,MDV,7.599999999999994,,66.26470588235294,51.98571428571428,63.61081081081081,0.082971118,0.027608531,0.362981379,0.534778357,0.667752326,-0.55726546,-0.411952257,-0.303693801,-0.186269343,-0.027355907,90500.0,156375.0,244875.0,245200.0,285700.0,13.330434782608704,,68.838,66.41428571428571,56.25405405405405,73921.5,77887.0,88641.0,91030.5,97595.5,-0.675655544,-0.463619083,-0.323318839,-0.229317337,-0.243848056,-0.875025868,-0.263243586,-0.339506418,-0.379969805,-0.401500523,5.15,1.425,1.5608695652173914,1.3716981132075472,11.006451612903223,-0.492414594,-0.195732102,-0.13092418,0.324197561,-0.13417545,5.882352941,4.597701149,4.597701149,4.597701149,4.597701149,10578.0,6690.0,1134.0,1189.0,-8011.0
Mali,MLI,5.3,,67.09411764705882,45.31428571428572,63.55135135135135,-2.084461451,-2.214205742,-2.14628768,-2.332805395,-2.479408979,-0.815356374,-0.864916384,-0.950111389,-0.919275939,-0.999322295,120000.0,208000.0,326000.0,326000.0,380000.0,10.4,,68.82,63.58571428571429,55.75675675675676,26538.0,26672.0,47380.0,49975.0,60637.0,-0.32770136,-0.442345589,-0.735177457,-0.777718246,-0.902199984,-0.711567581,-0.705255508,-0.801557362,-0.888018608,-0.879449666,5.369230769230769,1.5125000000000002,1.5130434782608695,1.3773584905660377,10.841935483870968,-1.025983214,-1.099251866,-1.18722105,-1.251992822,-1.196823478,8.843537415,9.523809524,27.89115646,27.27272727,28.57142857,-40761.0,-44428.0,-14978.0,-22236.0,-39998.0
Malta,MLT,11.733333333333334,,67.9235294117647,38.64285714285714,63.49189189189189,1.271421313,1.013528109,0.998400986,0.887379706,0.913422585,1.019527435,0.921010733,0.88351953,0.836222589,0.787202716,164200.0,235800.0,332200.0,336600.0,381200.0,11.45,,68.80199999999999,60.75714285714286,55.25945945945946,8579.0,8908.0,9168.0,9335.0,11098.0,1.100830078,1.080018401,1.118638515,1.071459293,1.076771259,0.547609329,0.21003823,0.342205673,0.293049514,0.238677815,5.588461538461538,1.6,1.4652173913043478,1.3830188679245283,10.67741935483871,0.931033909,0.824310184,0.994383156,0.853372395,0.804390192,11.94029851,14.92537313,13.43283582,13.43283582,27.84810127,11180.0,11247.0,10854.0,10408.0,850.0
Marshall Islands,MHL,18.166666666666668,,68.75294117647059,31.971428571428568,63.43243243243244,0.998590291,1.175102472,0.983442307,0.933938026,1.056267262,0.163996771,0.458869159,0.595379114,0.769646406,0.725977838,208400.0,263600.0,338400.0,347200.0,382400.0,12.5,,68.78399999999999,57.92857142857143,54.76216216216216,45881.0,46904.0,51387.5,55638.5,56039.5,1.123436809,1.085237503,1.130495667,1.096600771,1.102054238,0.348221093,0.367132217,0.467345566,0.416723073,0.385005087,5.807692307692308,1.7166666666666668,1.417391304347826,1.388679245283019,10.512903225806452,-0.182951793,-0.166344985,0.117472954,0.024143923,0.230687335,9.090909091,6.060606061,6.060606061,6.060606061,6.060606061,-1901.0,-1901.0,-1901.0,-1901.0,0.0
Mauritania,MRT,24.6,,69.58235294117648,25.3,63.372972972972974,-0.632418096,-0.562930703,-0.700950503,-0.555529892,-0.507473767,-0.707490385,-0.60823971,-0.605059206,-0.686039746,-0.658643126,252600.0,291400.0,344600.0,357800.0,383600.0,13.55,,68.766,55.1,54.26486486486486,83183.0,84900.0,93607.0,101942.0,100981.0,-0.868351042,-0.800371826,-0.825767577,-0.766241491,-0.727800727,-0.812102079,-0.8657974,-0.815018535,-0.84181273,-0.798844755,6.026923076923077,1.8333333333333333,1.3695652173913044,1.3943396226415097,10.348387096774193,-0.825167,-0.609396577,-0.838932753,-0.77517581,-0.701024175,20.26143791,20.26143791,20.26143791,20.26143791,20.26143791,-2987.0,-3018.0,-1494.0,-1494.0,3000.0
Mauritius,MUS,31.03333333333333,,70.41176470588236,25.3,63.31351351351351,0.859399259,0.801905751,0.872974157,0.832465351,0.835721731,0.709945679,0.696283937,0.890954435,0.846016705,0.799989045,296800.0,319200.0,350800.0,368400.0,384800.0,14.6,,68.748,55.1,53.76756756756757,16.0,20.0,20.0,10.0,98280.0,0.738156199,0.755292833,0.704483211,0.659452975,0.601032436,0.186878189,0.209806874,0.441281766,0.442428768,0.412719399,6.246153846153846,1.95,1.3217391304347823,1.4,10.183870967741935,0.894913614,0.86232549,0.85125798,0.810911179,0.750284731,11.5942029,20.0,20.0,20.0,20.0,-2209.0,-1034.0,-478.0,-478.0,0.0
Mexico,MEX,37.46666666666667,,71.24117647058824,25.3,63.25405405405405,-0.673981011,-0.843628824,-0.791369319,-0.688360929,-0.691959739,-0.641823947,-0.658984363,-0.646558285,-0.806147993,-0.866642535,341000.0,347000.0,357000.0,379000.0,386000.0,15.65,,68.73,55.1,53.270270270270274,16530.0,28517.0,45434.0,73448.0,95579.0,-0.008581652,0.008883099,-0.026169067,-0.076276742,-0.121708184,-0.948684394,-0.917184711,-0.921504736,-1.020310044,-1.011866212,6.465384615384616,2.0666666666666664,1.2739130434782608,1.4056603773584906,10.019354838709678,-0.292913616,-0.306652963,-0.26993987,-0.342298776,-0.280898958,48.2,48.2,48.2,50.0,50.0,-99430.0,-47764.0,-9949.0,-52649.0,-51399.0
"Micronesia, Fed. Sts.",FSM,43.9,,72.07058823529412,25.3,63.1945945945946,1.315120697,1.034340501,1.118729949,1.202114701,1.210484147,0.035041142,0.081636302,0.188530937,0.519451082,0.686108768,294285.71428571426,311000.0,402571.4285714286,429857.1428571429,478000.0,16.700000000000003,,68.712,55.1,52.77297297297297,8469.5,14467.0,22919.5,36898.5,100476.5,1.123436809,1.146963239,1.129765034,1.113457561,1.130898833,0.672230363,0.709070802,0.875658691,0.563614368,0.484119058,6.684615384615385,2.183333333333333,1.2260869565217392,1.4113207547169813,9.85483870967742,0.163868219,0.097125784,0.358195007,0.302233487,0.379839152,0.0,0.0,0.0,7.142857143,7.142857143,-1283.0,-1283.0,-635.0,-635.0,-600.0
Moldova,MDA,50.33333333333333,,72.9,25.3,63.13513513513514,-0.402226478,-0.387309909,-0.340128064,-0.205342084,-0.668324411,-0.433740765,-0.450450361,-0.501107097,-0.357132047,-0.286658674,247571.42857142855,275000.0,448142.8571428572,480714.2857142857,570000.0,17.75,,68.694,55.1,52.27567567567567,409.0,417.0,405.0,349.0,105374.0,-0.109600902,-0.100616597,-0.045278657,0.042553507,0.094781168,-0.746429086,-0.644489229,-0.571009994,-0.468919247,-0.341932297,6.903846153846153,2.3,1.1782608695652177,1.4169811320754715,9.690322580645162,-0.501230299,-0.440621287,-0.545202792,-0.437882721,-0.307013601,22.77227723,25.74257426,24.75247525,39.6039604,40.59405941,-36088.0,-28328.0,-14278.0,-14278.0,462866.0
Monaco,MCO,56.766666666666666,,72.54848484848485,25.3,63.07567567567568,1.577254295,1.577211499,1.17722559,1.172496915,1.204843044,1.536625862,1.510484815,1.367854357,1.390515685,1.48544991,200857.14285714284,239000.0,493714.2857142857,531571.4285714286,662000.0,18.8,,68.676,55.1,51.77837837837838,25.0,22.0,22.0,17.0,17.0,0.640359581,0.656735599,0.673558414,0.705153167,0.712894499,1.780909538,1.780709863,1.266005278,1.279871821,1.27020359,7.123076923076923,1.7,1.1304347826086958,1.4226415094339622,9.525806451612905,1.879265428,1.852065086,2.028542757,2.026758671,2.046895981,33.33333333,33.33333333,33.33333333,33.33333333,33.33333333,416.0,416.0,206.0,206.0,200.0
Mongolia,MNG,63.2,,72.1969696969697,25.3,63.016216216216215,0.831077039,0.636659682,0.717772186,0.705798924,0.533999085,-0.278373808,-0.257835925,-0.267986298,-0.249986231,-0.187423229,154142.85714285713,203000.0,539285.7142857143,582428.5714285714,754000.0,19.85,,68.658,55.1,51.28108108108108,5.0,337.5,94.0,96.0,10.0,0.244647413,0.322758585,0.376543373,0.312444866,0.262911826,-0.448486507,-0.455313385,-0.494477481,-0.552942455,-0.560807109,7.342307692307692,1.1,1.082608695652174,1.4283018867924528,9.361290322580643,-0.246496841,-0.234557524,-0.420242369,-0.51641947,-0.424908698,17.10526316,17.33333333,17.33333333,17.10526316,17.10526316,11426.0,10664.0,0.0,0.0,-850.0
