Country Name,Country Code,Access to electricity (% of population),Adequacy of social protection and labor programs (% of total welfare of beneficiary households),"Air transport, passengers carried",Compensation of employees (current LCU),"Contraceptive prevalence, any method (% of married women ages 15-49)",Control of Corruption: Estimate,"Current education expenditure, total (% of total expenditure in public institutions)",Current health expenditure (% of GDP),Forest area (% of land area),Gini index,Government Effectiveness: Estimate,"Hospital beds (per 1,000 people)",Human capital index (HCI) (scale 0-1),"Immunization, DPT (% of children ages 12-23 months)","Immunization, HepB3 (% of one-year-old children)","Immunization, measles (% of children ages 12-23 months)",Individuals using the Internet (% of population),"Inflation, consumer prices (annual %)","Intentional homicides (per 100,000 people)","Internally displaced persons, total displaced by conflict and violence (number of people)",Lending interest rate (%),"Life expectancy at birth, total (years)","Literacy rate, adult total (% of people ages 15 and above)",Losses due to theft and vandalism (% of annual sales for affected firms),Mobile cellular subscriptions (per 100 people),Multidimensional poverty headcount ratio (World Bank) (% of population),Net migration,Out-of-pocket expenditure (% of current health expenditure),"Persistence to last grade of primary, total (% of cohort)","Physicians (per 1,000 people)",Political Stability and Absence of Violence/Terrorism: Estimate,Population living in slums (% of urban population),Pregnant women receiving prenatal care (%),Prevalence of moderate or severe food insecurity in the population (%),Prevalence of severe food insecurity in the population (%),Prevalence of undernourishment (% of population),"Primary completion rate, total (% of relevant age group)",Proportion of population pushed below the $2.15 ($ 2017 PPP) poverty line by out-of-pocket health care expenditure (%),Proportion of seats held by women in national parliaments (%),Rail lines (total route-km),Refugee population by country or territory of asylum,Regulatory Quality: Estimate,Risk of impoverishing expenditure for surgical care (% of people at risk),Rule of Law: Estimate,"Share of youth not in education, employment or training, total (% of youth population)",Statistical performance indicators (SPI): Overall score (scale 0-100),"Survival to age 65, female (% of cohort)","Survival to age 65, male (% of cohort)",Total greenhouse gas emissions (kt of CO2 equivalent),"Unemployment, total (% of total labor force) (national estimate)",Voice and Accountability: Estimate,"Women making their own informed decisions regarding sexual relations, contraceptive use and reproductive health care (% of women age 15-49)","Women participating in the three decisions (own health care, major household purchases, and visiting family) (% of women age 15-49)"
Benin,BEN,41.0,16.003291174375,663892.4253333334,13875088552.5,47.208695652173915,-0.040327787,95.544119264,2.46970391,27.80374246,33.04,-0.290780723,0.47,0.400290728,72.0,72.0,65.0,22.1206,3.022721197,18.38013659,3500.0,6.5375,60.088,86.74868774375,1.0714285714285716,88.11818884,3.0599999999999996,1732.0,51.408535,54.11882019,1.846,-0.443083793,67.93293,95.56875,68.0,13.8,10.2,60.2596817,0.08563636363636365,7.228915663,2835.285714285714,1396.0,-0.483431756,30.333333333333336,-0.764496326,10.981,56.3625,60.365681,54.645469,16190.53196,5.2875,-0.073199019,,
Bermuda,BMU,100.0,14.211133736249998,356358.7126666667,15790632828.75,45.447826086956525,1.266005278,95.888238526,3.4162262649999997,18.51851852,36.56,1.470285416,1.295,0.437793881,83.5,84.0,79.0,49.48570000000001,4.3260432115,10.93229008,27375.0,10.26875,81.136,89.1166458125,1.0571428571428572,106.2002186,4.24,291.0,33.41659689,64.340660095,1.165,1.00336504,62.266344,95.6125,54.15,11.05,12.2,71.48683929500001,0.11418181818181819,11.061266341500001,2445.4285714285716,1302.6666666666667,0.93036598,22.166666666666668,0.622582138,11.474499999999999,53.627083334999995,93.131362,84.991378,8910.69383,5.15875,0.0391341895,,
Bhutan,BTN,100.0,12.418976298125,48825.0,17706177105.0,43.686956521739134,1.618236542,96.232357788,4.36274862,71.44939696,40.08,0.300448269,2.12,0.475297034,95.0,96.0,93.0,76.8508,5.629365226,2.459527822,51250.0,14.0,71.609,91.48460388125,1.042857142857143,96.4571149,5.42,291.0,15.42465878,74.5625,0.484,1.013411403,56.599758,95.65625,40.3,8.3,14.2,82.71399689,0.14272727272727273,14.89361702,2055.5714285714284,1209.3333333333333,-0.330750853,14.0,0.579251528,11.968,50.89166667,80.713338,73.596743,1630.8557,5.03,0.151467398,,
Bolivia,BOL,97.2,10.62681886,2627202.201,10530638941.0,41.92608695652174,-0.844050765,96.57647705,8.0225811,46.92491461,43.6,-0.725854099,1.36,0.5274905565,68.0,68.0,74.0,59.9401,0.940742153,3.493585291,75125.0,7.592223722,64.467,93.85256195,1.0285714285714287,98.89563329,6.6,-4666.0,20.89839554,84.784339905,0.438,-0.453478873,50.933172,95.7,26.450000000000003,5.550000000000001,16.2,92.11218262,0.1712727272727273,46.15384615,1665.7142857142858,1116.0,-1.035290122,48.1,-1.219215512,13.702,64.70041667,68.860077,51.991386,55203.08943,7.903,-0.085180767,,
Bosnia and Herzegovina,BIH,100.0,21.053301643333334,1593.0,3355100777.0,40.16521739130435,-0.642686784,96.47380066,9.7,42.73261719,45.36666666666667,-1.075679064,1.81,0.579684079,72.0,79.0,61.0,73.2118,1.4155506605000001,1.295802279,99000.0,3.071874132,76.225,92.43232935090909,1.0142857142857145,105.7638198,5.633333333333333,-26857.0,28.86,95.00617981,0.392,-0.447489053,45.266586000000004,95.74375,12.6,2.8,2.5,90.19138336,0.19981818181818184,26.19047619,1275.8571428571431,5232.0,-0.18239288,3.5,-0.315116078,21.805,65.04708333,89.535103,81.113012,26053.3501,15.868,-0.322684556,,
Botswana,BWA,71.8,31.47978442666667,22703674.5,28699840000.0,38.40434782608696,0.611279488,96.37112427,6.1213398,26.91705045,47.13333333333333,0.167751253,2.26,0.414028496,95.0,95.0,87.0,67.4756,1.890359168,8.678912442,261666.66666666666,5.75,65.647,91.01209675181818,1.0,150.3850531,4.666666666666666,1816.0,4.9515481,95.51289367800001,0.346,1.013090372,39.6,95.7875,55.6,25.4,24.5,84.87403869666667,0.22836363636363638,10.76923077,886.0,617.0,0.527586281,37.9,0.382423937,37.144,60.50666667,68.300882,56.744331,12374.76398,21.017,0.488893241,,
Brazil,BRA,99.7,41.90626721,45405756.0,301641000000.0,36.643478260869564,-0.428935021,96.26844788,10.18235016,59.41747805,48.9,-0.4653593,2.43,0.551497936,77.0,77.0,79.0,81.3427,3.211768038,22.3840654,424333.3333333333,29.04166667,74.009,89.59186415272727,0.9857142857142858,96.54706819,3.6999999999999997,56880.0,22.77106476,96.019607546,0.3,-0.445607245,36.990050000000004,95.83125,28.8,7.3,3.7,79.55669403333333,0.2569090909090909,14.61988304,1671.75,59092.0,-0.111011527,13.9,-0.23170203,25.992,78.3375,84.615778,72.521676,1064709.126,13.697,0.288439423,,
British Virgin Islands,VGB,100.0,40.60609451928572,22843189.0,203873687000.0,34.88260869565217,0.40964521499999995,96.00740306,6.2878474,24.13333333,46.1,0.4590655715,3.1550000000000002,0.5889446435,88.0,88.0,89.0,88.19649999999999,2.576044002,15.252262135666665,587000.0,17.270833335,75.849,88.17163155363636,0.9714285714285715,113.7593012,2.733333333333333,272.0,14.362434625,96.52632141400001,0.254,0.37119558449999995,34.3801,95.875,24.366666666666667,5.833333333333333,3.3000000000000003,74.23934937,0.28545454545454546,11.855396065499999,2457.5,46432.333333333336,0.396944959,11.333333333333334,0.3329572975,23.7125,69.59875,88.962384,79.848065,538311.57931,10.552999999999999,-0.32128326600000007,,
Brunei Darussalam,BRN,100.0,39.30592182857143,280622.0,106106374000.0,33.12173913043478,1.248225451,95.74635823999999,2.39334464,72.10626186,43.3,1.383490443,3.88,0.626391351,99.0,99.0,99.0,95.0503,1.940319966,8.120458871333332,749666.6666666666,5.5,74.795,86.75139895454545,0.9571428571428572,121.4758051,1.7666666666666666,-395.0,5.95380449,97.033035282,0.20799999999999996,1.187998414,31.77015,95.91875,19.933333333333334,4.366666666666666,2.9,100.3528671,0.314,9.090909091,3243.25,33772.66666666667,0.904901445,8.766666666666666,0.897616625,21.433,60.86,84.489158,77.295191,11914.03262,7.409,-0.931005955,,
Bulgaria,BGR,99.7,38.005749137857144,443067.0,8339061000.0,31.360869565217392,-0.322116584,95.48531342,8.48,35.86035372,40.5,-0.213883147,7.77,0.613898158,91.0,91.0,88.0,70.1625,1.672440969,0.988655607,912333.3333333333,4.336633333,73.65853659,85.33116635545454,0.942857142857143,113.849275,0.8,-9902.0,36.58,97.53974915,0.16199999999999998,0.40158087,29.1602,95.9625,15.5,2.9,2.5,91.22577667,0.3425454545454546,26.66666667,4029.0,21113.0,0.460990727,6.2,-0.127281368,14.777,83.05291667,85.353759,68.773719,46492.85461,5.125,0.259695321,,
Burkina Faso,BFA,18.5,36.70557644714286,70228.0,891111000000.0,29.6,-0.122583754,94.86834462833333,6.50193262,22.72076023,39.0,-0.707874298,0.2,0.383691937,91.0,91.0,88.0,15.5971,1.884439938,2.718694566,1075000.0,6.5375,59.731,83.91093375636363,0.9285714285714286,102.7626369,40.0,-5665.0,34.64083481,62.06301117,0.11599999999999999,-1.537941337,26.55025,96.00625,52.6,18.5,15.5,62.045681,0.37109090909090914,6.299212598,518.0,20252.0,-0.482700348,84.3,-0.468150288,12.972,53.16625,61.683791,51.916905,32262.81629,3.0775,-0.187733844,,
Burundi,BDI,9.1,35.405403756428576,148436.83299999998,454099000000.0,29.358823529411765,-1.562949181,94.25137583666667,10.71837234,10.8894081,37.5,-1.302272558,0.6719999999999999,0.386170626,93.0,93.0,90.0,9.17302,7.321106434,4.448733525,22000.0,12.195,61.566,82.49070115727272,0.9142857142857144,54.26373457,79.2,-10186.0,20.45733452,79.421813965,0.07,-1.542314768,36.8,96.05,44.0,12.45,16.8,49.19591904,0.3996363636363637,38.21138211,609.5,75461.0,-1.06177187,100.0,-1.339616895,11.167,49.67625,62.55873,53.673836,4102.678292,1.03,-1.526869416,,
Cabo Verde,CPV,93.7,34.105231065714285,226645.666,21700578859.0,29.11764705882353,0.845997393,93.63440704499999,6.12421703,11.34491315,38.55555555555556,0.197070047,1.144,0.43888024999999997,93.0,94.0,95.0,69.3734,0.605795808,6.178772484,349000.0,8.194514843,74.808,81.07046855818182,0.9,93.49323768,70.6,-1274.0,20.83621979,96.78061676,0.079,0.874160886,38.25,96.09375,35.4,6.4,18.1,85.51049042,0.4281818181818182,25.0,701.0,195772.6666666667,0.160896987,21.8,0.433581084,8.4295,60.77125,87.959723,71.319418,791.61071,0.601,0.910778642,,
Cambodia,KHM,86.4,32.805058375,609564.382,8357190000000.0,28.876470588235296,-1.271122456,93.01743825333332,7.11156559,45.7079651,39.611111111111114,-0.451601684,1.6159999999999999,0.491589874,87.0,87.0,83.0,53.6508,2.940295143,5.3580738624999995,676000.0,7.767346527111111,70.416,79.6502359590909,0.8857142857142858,128.6026166,62.0,-22308.0,62.05238342,97.12801170375,0.08800000000000001,-0.209088624,39.7,96.1375,50.0,15.1,4.6,94.90927887,0.45672727272727276,20.0,792.5,316084.3333333334,-0.661108851,36.6,-0.963570416,5.692,58.10041667,78.47076,69.407485,42363.17878,0.172,-1.356537819,,
Cameroon,CMR,64.3,31.504885684285718,40884.0,1051990000000.0,28.63529411764706,-1.140349984,92.40046946166666,3.77177453,43.02951069,40.666666666666664,-0.931451499,2.088,0.397401512,69.0,69.0,62.0,41.2264,2.437608822,4.537375241,1003000.0,7.340178211222223,60.833,78.23000336,0.8714285714285714,84.36916915,53.4,-9889.0,68.30715179,97.4754066475,0.097,-1.513643622,32.67179,96.18125,55.8,26.7,5.6,66.45800018,0.4852727272727273,33.88888889,884.0,436396.0,-0.830199361,51.4,-1.168966174,11.7785,55.15,59.436921,51.445729,93348.64392,4.914499999999999,-1.207354903,,
Canada,CAN,100.0,30.20471299357143,27620000.0,44939000000.0,28.394117647058824,1.565556288,91.78350067,13.0351181,38.69551251,41.72222222222222,1.598744869,2.56,0.797520101,92.0,84.0,90.0,92.3,0.716999632,2.003235529,896000.0,6.913009895333333,81.6604878,64.6500028,0.8571428571428572,85.40841921,44.8,195181.0,13.77592468,97.82280159125,2.433,1.013104677,45.003842500000005,96.225,6.5,1.0,2.5,71.70976384166667,0.5138181818181818,28.99408284,48309.23088,109214.0,1.592589736,0.1,1.618298292,17.865,87.43666667,91.972007,87.50366,677709.2227,9.657,1.471053362,,
Cayman Islands,CYM,100.0,28.904540302857143,23699950.6,58661645565.5,28.152941176470588,0.43935883,92.408268736,11.010249135,53.0,42.77777777777778,1.075224519,2.454,0.5445760040000001,67.0,63.0,65.5,50.4328362415,1.2135781135,4.456956938,789000.0,6.485841579444444,68.13224389999999,51.070002239999994,0.842857142857143,148.5663349,36.199999999999996,766.0,31.725715634999997,98.170196535,1.642,1.456373334,57.335895,96.26875,43.9,31.4,24.1,76.96152750333333,0.5423636363636364,18.7827557055,39126.584704,38.0,1.045568824,26.933333333333334,0.727434754,18.1364,73.12569444666666,84.683319,77.102355,349362.799215,9.9124,0.49604407,,
Central African Republic,CAF,15.4,27.60436761214286,19779901.2,72384291131.0,27.911764705882355,-1.294777036,93.033036802,8.98538017,35.80050724,43.833333333333336,-1.728578925,2.348,0.291631907,42.0,42.0,41.0,8.565672483,1.710156595,4.54218002325,682000.0,6.058673263555555,54.604,37.49000168,0.8285714285714286,34.26900891,27.599999999999994,-24803.0,49.67550659,98.51759147875,0.851,-2.236208916,69.6679475,96.3125,81.3,61.8,45.7,82.213291165,0.5709090909090909,8.571428571,29943.938528000002,9083.0,-1.502297163,53.766666666666666,-1.751738191,18.407799999999998,58.814722223333334,47.407528,38.40694,21016.37573,10.1678,-1.304422021,,
Chad,TCD,10.9,26.30419492142857,15859851.8,3586856194087.3335,27.67058823529412,-1.424788117,93.657804868,5.53655243,3.425190597,44.888888888888886,-1.510569453,2.242,0.299782783,52.0,52.0,47.0,8.34311,4.464144372,4.6274031085,342000.0,5.6315049476666665,52.777,52.3023805625,0.8142857142857143,52.19169152,18.999999999999993,9016.0,60.54256439,98.86498642250001,0.06,-1.255195975,82.0,96.35625,60.0,42.46666666666667,29.8,87.46505482666667,0.5994545454545455,15.43209877,20761.292352000004,478649.0,-1.125309587,80.6,-1.33145833,18.6792,44.50375,47.982932,41.026449,89558.45681,10.4232,-1.403182983,,
Channel Islands,CHI,100.0,25.004022230714288,11939802.4,7101328097043.667,27.429411764705883,-0.15902704,94.282572934,7.631910325,5.151515152,45.94444444444444,-0.40259239049999995,2.1359999999999997,0.47569347949999996,72.5,72.5,69.0,47.901205000000004,3.75481761,4.71262619375,1487000.0,5.204336631777777,81.264,67.114759445,0.8,91.03843606000001,10.399999999999991,1362.0,44.931651115,99.21238136625,1.434,-0.6055927664999999,63.925,96.4,38.699999999999996,23.133333333333333,16.15,92.71681848833333,0.628,19.006371965,11578.646176000002,240351.0,-0.08833092449999991,43.65,-0.2020117640000001,18.9506,63.572916665,93.028675,88.883435,98140.395505,10.6786,-0.20527708499999986,,
Chile,CHL,100.0,23.70384954,8019753.0,10615800000000.0,27.188235294117646,1.106734037,94.907341,9.72726822,24.49215367,47.0,0.705384672,2.03,0.651604176,93.0,93.0,91.0,87.4593,3.045490848,4.797849279,2632000.0,4.777168315888888,79.377,81.9271383275,0.7857142857142858,129.8851806,1.8,98439.0,29.32073784,99.55977631,2.808,0.044010442,45.85,96.44375,17.4,3.8,2.5,97.96858215,0.6565454545454545,22.58064516,2396.0,2053.0,0.948647738,6.7,0.927434802,19.222,82.64208333,89.808639,82.691932,106722.3342,10.934,0.992628813,,
China,CHN,100.0,30.316145355,417255845.0,24063200000000.0,26.947058823529414,-0.070956685,90.85713577,5.59359741,23.4313229,37.1,0.644194782,5.0,0.653102636,99.0,99.0,99.0,70.0528,2.419421895,0.502270364,3777000.0,4.35,78.077,96.73951721,0.7714285714285715,120.5961882,4.8,-33649.0,34.791008,96.78840637,2.387,-0.473098785,27.775000000000006,96.4875,38.16666666666667,11.666666666666666,2.5,98.79809188499999,0.6850909090909092,24.94117647,106235.0,303405.0,-0.20264338,12.9,-0.102287054,22.25975,57.8075,90.481335,81.903129,12942868.34,5.61,-1.658737779,,
Colombia,COL,99.7,36.92844117,12273939.72,37510600000000.0,26.705882352941178,-0.251915634,86.80693054,8.71432114,53.30501127,53.5,0.008680122,1.69,0.604330301,88.0,88.0,90.0,69.7953,2.526635001,24.24276338,4922000.0,9.850524251,74.769,95.63632965,0.7571428571428571,132.8719623,7.8,229437.0,14.50628376,97.28720093,2.325,-0.701150596,9.7,96.53125,58.93333333333334,19.53333333333333,6.3,99.62760162,0.7136363636363637,18.34319527,72037.0,957.0,0.225666419,22.3,-0.492650598,25.2975,74.06833333,85.747833,75.072249,186999.3355,15.983,0.143143579,,
Comoros,COM,85.6,36.9110889575,6275763.9395,21134730000000.0,26.46470588235294,-1.20799458,89.2120532975,5.86521959,17.68941429,49.1,-1.642914176,1.555,0.404688299,91.0,91.0,90.0,21.16321517,2.282880491,20.9635888225,5095000.0,8.09375,64.166,95.50231424866666,0.7428571428571429,96.95013186,45.699999999999996,-1772.0,61.66526031,85.29087448,2.4232500000000003,-0.28740406,44.031130000000005,96.575,79.7,27.4,11.9,89.17829895,0.7421818181818183,16.66666667,37839.0,245600.0,-1.258211136,44.8,-1.275882244,28.335250000000002,60.11770833,68.70467,57.95185,619.946774,8.724499999999999,-0.764142394,,
"Congo, Dem. Rep.",COD,20.1,36.893736745,277588.159,4758860000000.0,26.223529411764705,-1.592267394,91.617176055,4.05092573,55.64731259,44.7,-1.744765282,1.42,0.366369277,70.0,70.0,62.0,19.8388,2.0391259809999998,17.684414265,5268000.0,25.95849371,59.739,95.36829884733332,0.7285714285714286,43.93861689,83.6,-1643.0,39.71793747,73.29454803,2.5215,-1.785483599,78.36226,96.61874999999999,72.3,39.2,33.9,78.72899628,0.7707272727272728,12.8,3641.0,490243.0,-1.511245608,98.0,-1.822215557,31.373,46.16708333,60.385997,52.348119,56120.40776,1.466,-1.252709866,,
"Congo, Rep.",COG,48.7,36.8763845325,79620.0,335639000000.0,25.982352941176472,-1.460418224,94.0222988125,4.39382887,64.26354319,46.95,-1.254329801,1.285,0.419265717,73.0,73.0,68.0,24.8206,1.795371471,14.4052397075,134000.0,16.298288043,63.785,95.23428344599999,0.7142857142857143,98.52300193,42.949999999999996,-4465.0,25.19023323,85.34439086500001,2.61975,-0.213065609,44.18359,96.6625,88.7,55.5,32.0,87.740932465,0.7992727272727274,11.25827815,2640.3333333333335,27097.0,-1.452166677,55.5,-1.120401978,25.6595,39.23625,63.235629,55.719548,19421.77959,8.949,-1.279658079,,
Costa Rica,CRI,99.9,36.85903232,455830.6,3212920000000.0,25.741176470588236,0.661663234,96.42742157,7.8254571,59.43732863,49.2,0.196720213,1.15,0.628635049,97.0,91.0,95.0,80.5302,0.724911478,11.12606515,221000.0,6.638082376,79.277,95.10026804466666,0.7,146.6370492,2.3,2084.0,20.28676224,97.3942337,2.718,0.746752381,3.54573,96.70625,15.9,2.8,3.1,96.75286865,0.8278181818181819,45.61403509,1639.6666666666667,9593.0,0.477579594,13.0,0.498481661,19.946,83.32625,91.045333,83.51001,14405.0866,16.432,1.120828748,,
Cote d'Ivoire,CIV,69.9,34.784099115454545,322841.0,1670550000000.0,25.5,-0.552296638,91.62638855,3.62587261,8.920471698,39.35,-0.539629281,3.3749999999999996,0.379889339,75.0,75.0,66.0,36.0166,2.425006568,6.0512101945,308000.0,6.0891198205,59.032,94.96625264333333,0.6857142857142857,149.543339,1.4,-12301.0,31.99206734,70.10767365,2.9583333333333335,-1.033205271,53.21082,96.75,42.8,9.4,7.9,75.58598328,0.8563636363636364,11.37254902,639.0,2086.0,-0.381347746,99.7,-0.655076623,16.094,61.46916667,52.187348,48.813243,26412.28115,11.9695,-0.533239543,,
Croatia,HRV,100.0,32.70916591090909,608458.0,3412583000.0,26.21764705882353,0.177089244,91.889328,7.72,34.65171551,29.5,0.425023794,5.6,0.709693968,94.0,91.0,91.0,78.3209,0.154811375,0.976355239,288000.0,5.5401572649999995,77.72439024,94.83223724199999,0.6714285714285715,106.805903,0.5,-11592.0,10.45,98.48708344,3.1986666666666665,0.607223809,31.87642,96.79375,11.4,1.6,2.5,97.81408691,0.884909090909091,31.12582781,2617.0,956.0,0.362314552,0.3,0.236004218,12.242,73.67333333,91.611174,81.413419,21379.32606,7.507,0.579718292,,
Cuba,CUB,99.9,30.634232706363633,99838.0,3165822848.0,26.93529411764706,-0.154578611,93.57650248,12.48639679,31.23314066,30.233333333333334,-0.203546971,4.19,0.724969387,99.0,99.0,98.0,71.1191,-0.109600016,1.0549318166666666,268000.0,4.9911947095,77.567,94.69822184066666,0.6571428571428571,58.95001353,0.7000000000000001,-7068.0,8.92000961,97.27150726,3.439,0.596087813,10.54202,96.83749999999999,10.0,1.6,2.5,94.62593842,0.9134545454545455,53.2231405,4307.0,222.0,-1.530463457,0.23333333333333334,-0.287810236,14.851,76.43388888666667,87.522157,79.063669,38558.67367,13.288499999999999,-1.419536114,,
Curacao,CUW,100.0,28.55929950181818,102198.5,2919062696.0,27.652941176470588,0.09752189399999997,95.26367696,10.448198395,0.157657658,30.966666666666665,0.3181866555,4.993333333333333,0.740244806,97.5,96.5,92.0,80.9605,-0.374011407,1.1335083943333333,248000.0,4.442232154,79.479,94.56420643933333,0.6428571428571428,89.81023625,0.9000000000000001,997.0,13.345004804999999,97.663555145,3.6793333333333336,0.4424102005,10.643,96.88125,8.6,1.6,2.5,97.49721911,0.9420000000000001,36.43299882,5997.0,68.0,-0.2686079145,0.16666666666666666,0.12994767750000003,17.46,79.19444444333334,89.604593,76.863034,23333.940240999997,19.07,-0.2582018975,,
Cyprus,CYP,100.0,26.48436629727273,104559.0,2672302544.0,28.370588235294118,0.349622399,96.95085144,8.41,18.67207792,31.7,0.839920282,5.796666666666667,0.755520225,96.0,94.0,86.0,90.8019,-0.638422798,1.212084972,228000.0,3.8932695985,81.391,94.430191038,0.6285714285714286,139.6351351,1.1,2999.0,17.77,98.05560303,3.919666666666667,0.288732588,10.74398,96.925,7.2,1.6,2.5,100.3684998,0.9705454545454546,19.64285714,7687.0,13997.0,0.993247628,0.1,0.547705591,14.357,81.955,92.971184,87.892866,8109.206812,7.755,0.903132319,,
Czechia,CZE,100.0,24.409433092727273,929888.181,272339000000.0,29.08823529411765,0.555802822,90.79060364,9.2136879,34.67799193,26.2,0.9111709,6.6,0.752257407,97.0,96.0,94.0,81.3389,3.161295285,0.731177856,195885.7142857143,3.344307043,78.17560976,94.29617563666666,0.6142857142857143,123.4438209,0.0,3621.0,11.52823639,99.50099182,4.16,0.91225487,10.84496,96.96875,5.8,1.6,2.5,96.69519806,0.9990909090909091,22.5,9377.0,1919.0,1.234668493,0.05,1.019453645,6.682,87.56208333,91.47037,82.615453,108308.4176,2.551,0.978910446,,
Denmark,DNK,100.0,22.334499888181817,705263.88575,94637000000.0,29.805882352941175,2.236468792,92.13239288,10.56,15.711,27.5,1.840414047,2.59,0.755094826,97.0,83.0,94.0,96.5491,0.420711974,0.944102117,163771.42857142858,4.529230889666667,81.60243902,94.16216023533333,0.6,124.4957422,1.2,23076.0,12.93,99.7026062,3.706888888888889,0.920160234,10.94594,97.0125,5.5,1.4,2.5,99.70002747,1.0276363636363637,39.66480447,9146.4,36643.0,1.785724521,0.0,1.808279395,7.444,87.11916667,92.233915,87.993144,41135.55451,5.637,1.514662504,,
Djibouti,DJI,64.5,20.259566683636365,480639.5905,165648666666.6667,30.523529411764706,-0.752702355,93.491052625,2.15048313,0.250215703,31.533333333333335,-0.760830402,2.795,0.6499220729999999,70.0,70.0,62.0,62.5104,1.777407838,10.8895135035,131657.14285714284,5.714154736333333,62.694,94.028144834,1.2,39.81402662,1.7666666666666666,744.0,26.61188316,89.45155334,3.2537777777777777,-0.448214263,11.04692,97.05624999999999,49.2,16.5,17.3,50.12535095,1.0561818181818183,26.15384615,8915.8,21193.0,-0.857029617,2.1,-1.04289186,17.53,40.79041667,66.280366,55.165761,1394.763044,5.8,-1.406846166,,
Dominica,DMA,100.0,18.184633479090913,256015.29524999997,236660333333.33334,31.241176470588236,0.557267368,94.84971236999999,5.99901152,63.82666667,35.56666666666667,-0.126706585,3.0,0.54474932,96.0,97.0,92.0,75.6567,-0.727116413,20.83492489,99542.85714285714,6.899078583,73.649,93.89412943266667,1.7999999999999998,103.6294691,2.333333333333333,100.0,28.22134972,72.82501602,2.800666666666667,1.316998243,11.1479,97.1,51.150000000000006,19.35,7.1,73.56550598,1.0847272727272728,34.375,8685.2,10677.5,0.268519282,4.2,0.790470541,27.616,44.53958333,84.237165,73.011573,230.526372,5.963,0.873136044,,
Dominican Republic,DOM,100.0,16.109700274545457,31391.0,307672000000.0,31.958823529411767,-0.751166821,96.208372115,4.93998051,45.10950748,39.6,-0.281463861,1.42,0.502766907,82.0,81.0,82.0,81.6173,3.781031799,8.736630898,67428.57142857142,10.97964167,72.889,93.76011403133333,2.4,81.72601454,2.9,-14966.0,24.64875984,56.1984787,2.3475555555555556,0.164941698,11.24888,97.14375,53.1,22.2,6.3,97.00566101,1.1132727272727274,27.89473684,8454.6,162.0,0.023165073,6.3,-0.173210472,37.702,64.2825,82.64296,69.712952,37052.66519,6.126,0.237802729,,
Ecuador,ECU,98.9,14.03476707,1146368.544,9154001081.0,32.6764705882353,-0.503777742,97.56703186,8.35889626,50.32142857,47.3,-0.47004047,1.32,0.594254851,70.0,70.0,81.0,70.7,-0.338872393,7.800509142,35314.28571428571,11.17315417,72.153,93.62609863,3.0,88.04208636,7.1,35894.0,31.72368431,98.53884125,1.8944444444444444,-0.270263135,12.999253333333334,97.1875,36.8,12.8,14.1,98.21585846,1.1418181818181818,39.41605839,8224.0,104582.0,-0.871133387,27.8,-0.541196287,33.929,75.70416667,81.291034,67.812682,68056.47202,6.127,-0.013822564,,
"Egypt, Arab Rep.",EGY,100.0,15.907182773999999,4638192.256,5876050540.5,33.39411764705883,-0.810555279,94.24102783000001,4.15384626,0.045185594,43.98,-0.445820093,1.13,0.494374663,94.0,94.0,94.0,71.9142,5.04493289,14.555405731,3200.0,11.36666667,70.99,91.80531311,3.6,88.73336258,5.8,4476.0,59.31352997,99.75286865,1.4413333333333336,-1.181911707,14.749626666666666,97.23125,27.3,7.1,6.4,96.57261658,1.1703636363636365,27.41116751,7993.4,272826.0,-0.571031153,25.2,-0.319997311,30.156,76.84583333,80.185639,68.235892,299778.6515,7.974,-1.483353972,,
El Salvador,SLV,99.7,17.779598478,805271.999,2598100000.0,34.11176470588235,-0.577217638,90.9150238,9.08151054,28.17953668,40.66,-0.260907888,1.08,0.546176612,76.0,76.0,74.0,54.6014,-0.371590212,21.31030232,346000.0,10.6850000026,71.061,89.98452759,3.2777777777777777,158.1030557,4.5,-25214.0,27.421278,84.60674286,0.9882222222222223,-0.115019135,16.5,97.27499999999999,46.5,14.7,7.0,96.37981224250001,1.198909090909091,33.33333333,7762.8,48.0,-0.08524321,16.5,-0.775593698,25.169,68.41708333,80.496534,61.611433,11063.80963,5.008,0.070616141,,
Equatorial Guinea,GNQ,66.7,19.652014182,138898.0,195137000000.0,34.82941176470588,-1.539008975,89.94604237666667,3.89984655,87.28770053,37.34,-1.215515733,1.04,0.6231854753333333,53.0,53.0,53.0,55.0013,4.766695239,15.259940023666669,688800.0,10.0033333352,60.708,89.8083953875,2.9555555555555557,46.62018522,3.1999999999999993,0.0,74.99308777,89.64458211333333,0.5351111111111111,-0.22158289,15.07705,97.31875,33.63333333333333,10.066666666666666,5.5,96.187007905,1.2274545454545456,21.0,7532.2,124.5,-1.714255929,11.833333333333332,-1.162327766,19.847333333333335,33.94708333,61.234629,51.827458,9542.961347,5.657333333333334,-1.809948683,,
