Country Name,Country Code,Compensation of employees (current LCU)_2018,Compensation of employees (current LCU)_2019,Compensation of employees (current LCU)_2020,Compensation of employees (current LCU)_2021,Compensation of employees (current LCU)_2022,"Unemployment, total (% of total labor force) (national estimate)_2018","Unemployment, total (% of total labor force) (national estimate)_2019","Unemployment, total (% of total labor force) (national estimate)_2020","Unemployment, total (% of total labor force) (national estimate)_2021","Unemployment, total (% of total labor force) (national estimate)_2022",Regulatory Quality: Estimate_2018,Regulatory Quality: Estimate_2019,Regulatory Quality: Estimate_2020,Regulatory Quality: Estimate_2021,Regulatory Quality: Estimate_2022
Bulgaria,BGR,6531354000.0,7685735000.0,8339061000.0,9532251000.0,10405885000.0,5.211,4.23,5.125,5.267,4.268,0.605752707,0.530806184,0.460990727,0.433977693,0.320686907
Burkina Faso,BFA,704542000000.0,840077000000.0,891111000000.0,942622000000.0,936818000000.0,4.695,1.56,3.0775,4.049250000000001,1.927,-0.40524897,-0.422923088,-0.482700348,-0.48016727,-0.468305677
Burundi,BDI,361986501852.0,420829000000.0,454099000000.0,480991000000.0,760136800000.0,8.432500000000001,6.424999999999999,1.03,2.8315,2.5976,-1.009911776,-0.991803586,-1.06177187,-1.0019871,-0.947485685
Cabo Verde,CPV,19431003704.0,21032772269.0,21700578859.0,4098035500000.0,583455600000.0,12.17,11.29,0.601,1.61375,3.2682,-0.036307488,-0.024774076,0.160896987,0.268863976,0.263682216
Cambodia,KHM,6994460000000.0,7872260000000.0,8357190000000.0,7715080000000.0,406774400000.0,10.059,0.499,0.172,0.396,3.9388,-0.536904514,-0.609220564,-0.661108851,-0.686099589,-0.709801018
Cameroon,CMR,1008010000000.0,1013410000000.0,1051990000000.0,1075000000000.0,230093200000.0,7.947999999999999,3.0945000000000005,4.914499999999999,3.275,4.609400000000001,-0.812619865,-0.847178757,-0.830199361,-0.934422612,-0.898889482
Canada,CAN,42476000000.0,43860000000.0,44939000000.0,51668000000.0,53412000000.0,5.837,5.69,9.657,7.527,5.28,1.699419856,1.710002422,1.592589736,1.613764048,1.677092791
Cayman Islands,CYM,51906000000.0,54456000000.0,58661645565.5,66437569805.0,2507629600000.0,4.269666666666667,6.0506,9.9124,7.877800000000001,5.8738,0.966315627,0.970051646,1.045568824,1.052494287,1.085572481
Central African Republic,CAF,61336000000.0,65052000000.0,72384291131.0,81207139610.0,4961847200000.0,2.7023333333333333,6.4112,10.1678,8.2286,6.467600000000001,-1.394326091,-1.383874416,-1.502297163,-1.509714484,-1.474184155
Chad,TCD,3121417333333.333,3311028000000.0,3586856194087.333,3940638093073.3335,7416064800000.0,1.135,6.771800000000001,10.4232,8.5794,7.061400000000001,-1.124444842,-1.124400854,-1.125309587,-1.171825171,-1.14935708
