Country Name,Country Code,"Immunization, DPT (% of children ages 12-23 months)_2018","Immunization, DPT (% of children ages 12-23 months)_2019","Immunization, DPT (% of children ages 12-23 months)_2020","Immunization, DPT (% of children ages 12-23 months)_2021","Immunization, DPT (% of children ages 12-23 months)_2022",Current health expenditure (% of GDP)_2018,Current health expenditure (% of GDP)_2019,Current health expenditure (% of GDP)_2020,Current health expenditure (% of GDP)_2021,Current health expenditure (% of GDP)_2022,Out-of-pocket expenditure (% of current health expenditure)_2018,Out-of-pocket expenditure (% of current health expenditure)_2019,Out-of-pocket expenditure (% of current health expenditure)_2020,Out-of-pocket expenditure (% of current health expenditure)_2021,Out-of-pocket expenditure (% of current health expenditure)_2022,"Immunization, measles (% of children ages 12-23 months)_2018","Immunization, measles (% of children ages 12-23 months)_2019","Immunization, measles (% of children ages 12-23 months)_2020","Immunization, measles (% of children ages 12-23 months)_2021","Immunization, measles (% of children ages 12-23 months)_2022","Life expectancy at birth, total (years)_2018","Life expectancy at birth, total (years)_2019","Life expectancy at birth, total (years)_2020","Life expectancy at birth, total (years)_2021","Life expectancy at birth, total (years)_2022","Survival to age 65, male (% of cohort)_2018","Survival to age 65, male (% of cohort)_2019","Survival to age 65, male (% of cohort)_2020","Survival to age 65, male (% of cohort)_2021","Survival to age 65, male (% of cohort)_2022","Survival to age 65, female (% of cohort)_2018","Survival to age 65, female (% of cohort)_2019","Survival to age 65, female (% of cohort)_2020","Survival to age 65, female (% of cohort)_2021","Survival to age 65, female (% of cohort)_2022"
Palau,PLW,95.0,97.0,96.0,95.0,94.0,12.85856915,13.40278435,14.34041405,16.38419533,7.0,14.40215683,13.51921749,14.99951267,14.98088646,26.03125,90.0,97.0,93.0,93.0,96.0,72.1725,72.283,71.463,71.1605,71.6285,50.250197,50.688717,51.367308,52.362783,51.699674,66.667456,68.047646,69.77721,71.77862,69.113918
Panama,PAN,88.0,88.0,74.0,87.0,87.0,7.87820292,8.46795654,10.8049345,9.68179989,6.62,35.70438766,37.61917496,39.5986557,37.33168793,30.015,98.0,97.0,80.0,92.0,92.0,77.863,77.81,76.657,76.223,76.826,78.445239,77.675039,76.593285,76.058511,77.087017,87.451501,86.981138,86.273978,85.866801,86.460689
Papua New Guinea,PNG,35.0,35.0,39.0,31.0,36.0,2.30051899,2.3253386,2.30193973,2.32032132,6.24,9.59954548,9.52710056,10.4240942,10.35447788,33.99875,37.0,37.0,47.0,38.0,44.0,65.182,65.474,65.787,65.351,65.958,58.32391,58.357812,59.275298,57.706962,59.08303,70.698306,71.74763,71.891707,70.820144,72.584369
Paraguay,PRY,88.0,86.0,79.0,70.0,69.0,6.74497652,7.16081905,7.67533064,8.03277016,5.859999999999999,43.87631607,41.96775436,37.87582779,35.93767929,37.9825,93.0,87.0,80.0,68.0,54.0,73.568,73.621,73.182,70.262,70.475,71.897105,71.899306,70.007685,64.864713,65.4633,81.929564,82.131791,80.868378,77.567,77.960041
Peru,PER,88.0,88.0,72.0,82.0,82.0,5.15967131,5.17916393,6.28521156,6.15173197,5.48,29.40898895,28.13241577,22.76672554,27.21529961,41.96625,86.0,85.0,77.0,78.0,74.0,76.009,76.156,73.665,72.377,73.385,79.093208,79.538742,71.673491,69.475496,72.66549,86.340776,86.389888,83.084015,78.503885,80.468493
Philippines,PHL,75.0,71.0,71.0,57.0,72.0,3.95,4.17,5.16,5.87,5.1,50.44,48.79,44.56,44.61,45.95,77.0,75.0,72.0,57.0,69.0,71.689,71.865,72.119,69.266,72.187,73.279214,73.606736,74.097411,67.509029,74.008519,80.741955,81.052182,81.47604,77.230674,81.715031
Poland,POL,95.0,95.0,90.0,90.0,90.0,6.31,6.46,6.5,6.44,6.68,20.79,20.44,20.03,20.31,45.95,93.0,93.0,80.0,71.0,71.0,77.60243902,77.90487805,76.5,75.50243902,77.30487805,75.751027,76.207624,75.895016,76.127479,76.620058,89.537207,89.785609,89.940198,89.671039,89.781126
Portugal,PRT,99.0,99.0,99.0,99.0,99.0,9.41,9.51,10.55,11.14,10.62,29.92,30.61,28.02,28.99,45.95,99.0,99.0,99.0,98.0,98.0,81.32439024,81.67560976,80.97560976,81.37804878,81.5804878,84.260552,84.751417,83.850969,84.078117,85.625247,93.133447,93.141751,93.097006,92.877598,93.643273
Puerto Rico,PRI,98.5,98.5,94.0,98.5,98.5,6.185881095,6.356392984999999,7.184361005,7.016834205,10.515882352941176,18.32903143,18.61494034,16.959297905,17.77380001,45.95,99.0,99.0,94.5,98.5,98.5,79.77,79.063,78.041,80.162,79.72,78.088918,77.394538,75.615779,78.207448,77.63825,91.170157,90.650181,88.953491,89.894212,90.748919
Qatar,QAT,98.0,98.0,89.0,98.0,98.0,2.96176219,3.20278597,3.81872201,2.89366841,10.411764705882351,6.73806286,6.61988068,5.89859581,6.55760002,45.95,99.0,99.0,90.0,99.0,99.0,80.898,80.99,79.099,79.272,81.559,91.134369,91.103228,89.431759,89.400508,91.71742,93.010695,93.083403,91.554088,91.376747,93.56146
Romania,ROU,86.0,88.0,87.0,86.0,85.0,5.52,5.71,6.23,6.48,10.307647058823528,19.46,18.88,19.03,20.94,45.95,90.0,90.0,87.0,86.0,83.0,75.35853659,75.60731707,74.25365854,72.8097561,75.30487805,73.457459,74.448066,72.848744,71.621599,71.814563,89.116916,89.507445,89.047054,87.195469,86.859445
Russian Federation,RUS,97.0,97.0,97.0,97.0,97.0,5.36,5.65,7.57,7.39,10.203529411764706,38.31,36.57,26.43,27.22,45.95,98.0,98.0,97.0,97.0,97.0,72.66219512,73.08390244,71.33878049,69.9002439,72.54560976,63.566095,64.816353,59.477717,53.849123,55.001426,86.560559,87.156315,81.733826,79.942128,81.858171
Rwanda,RWA,97.0,98.0,91.0,88.0,98.0,6.69894743,6.34386826,7.47530079,7.32305002,10.09941176470588,11.8659668,12.1073637,10.27080822,10.13342953,45.95,99.0,96.0,94.0,87.0,96.0,66.251,66.437,66.774,66.072,67.129,59.838837,60.080768,60.363683,58.966639,61.199241,69.722837,70.042034,71.09718,69.210168,71.350829
Samoa,WSM,44.0,68.0,89.0,85.0,76.0,4.77439356,5.63886738,6.18895578,6.80313492,9.995294117647058,12.98148251,11.17468166,10.83402157,11.1886692,45.95,40.0,96.0,66.0,62.0,82.0,72.636,72.157,72.768,72.767,72.598,72.600499,71.691269,72.748103,72.769987,72.480056,82.421448,81.495747,82.552332,82.615929,82.44981
San Marino,SMR,90.0,88.0,89.0,90.0,92.0,8.2778492,8.14801598,8.48147392,7.97527838,9.891176470588237,11.11235237,11.22083473,10.25551033,11.85579014,45.95,89.0,86.0,90.0,89.0,91.0,70.49549999999999,70.34,70.2765,70.179,70.696,92.053963,92.047891,84.837314,86.691369,92.538836,94.393129,94.388979,91.656546,92.715488,94.659276
Sao Tome and Principe,STP,95.0,95.0,96.0,97.0,97.0,5.50957823,5.29584646,7.30042553,7.82528496,9.787058823529412,15.81694221,16.99124527,11.84764099,11.65572834,45.95,95.0,95.0,86.0,77.0,77.0,68.355,68.523,67.785,67.591,68.794,60.806094,61.048201,59.201799,59.316284,61.478366,73.91515,74.08204,72.667195,71.685682,74.624044
Saudi Arabia,SAU,96.0,96.0,95.0,97.0,98.0,5.34063101,5.46742678,6.64629889,5.96836901,9.682941176470589,15.89835358,11.40407372,10.08158016,10.15629482,45.95,98.0,95.0,96.0,98.0,98.0,77.212,77.304,76.239,76.936,77.905,83.257354,83.420512,81.63294,82.903805,84.329583,87.153359,86.973024,85.652908,86.638743,87.781626
Senegal,SEN,92.0,95.0,91.0,85.0,88.0,4.43182087,4.49531031,5.15119171,4.35098124,9.578823529411764,48.3353653,48.74660873,41.57304764,47.31245041,45.95,86.0,89.0,88.0,87.0,80.0,68.097,68.526,68.006,67.093,67.913,66.334871,66.531863,65.243694,63.108991,64.354516,76.491192,77.729079,76.227589,73.959123,75.450748
Serbia,SRB,96.0,97.0,92.0,91.0,92.0,8.53168106,8.66552734,8.70042133,10.0125246,9.47470588235294,38.31095886,37.05567169,36.04281998,35.76107025,45.95,92.0,87.0,78.0,75.0,81.0,75.8902439,75.93658537,74.47804878,72.7804878,75.48219512,78.186922,78.539713,76.1482,74.797238,74.919975,88.958236,89.436199,88.842235,87.581267,87.328962
Seychelles,SYC,99.0,99.0,97.0,94.0,97.0,4.94443846,4.77020788,6.54135609,5.25937986,9.370588235294118,24.62061691,24.68238068,20.23866653,21.97709084,45.95,96.0,99.0,97.0,94.0,98.0,72.84146341,74.04634146,77.23658537,73.39756098,73.84878049,70.968383,71.275387,71.164735,67.393285,67.967198,85.765199,86.130994,84.331056,81.972682,82.606697
Sierra Leone,SLE,93.0,95.0,91.0,92.0,91.0,8.28987598,9.12992668,9.32588673,8.55334282,9.266470588235292,60.98888779,52.88983917,52.34044266,51.40983582,45.95,87.0,93.0,87.0,87.0,90.0,59.796,60.255,59.763,60.062,60.411,55.619307,56.437353,54.325219,54.881329,55.454418,61.447935,61.940706,60.411018,60.542056,61.08649
Singapore,SGP,97.0,97.0,98.0,98.0,97.0,4.07545424,4.39938164,5.71281767,5.56525183,9.16235294117647,29.07070541,28.43709755,24.42372894,22.49976158,45.95,97.0,96.0,97.0,96.0,96.0,83.29756098,83.59512195,83.54390244,83.09268293,82.89512195,89.710777,90.054775,90.299722,90.71156,90.448711,94.170743,94.381415,94.318412,94.486041,94.598562
Sint Maarten (Dutch part),SXM,96.5,97.0,97.5,97.5,97.0,5.37272712,5.65969082,6.421408834999999,6.657625915000001,9.058235294117647,23.990352705,23.798548775,21.58686447,20.94988079,45.95,96.5,96.0,96.5,95.5,95.5,75.131,75.437,74.584,73.972,74.409,78.363935,78.465946,77.383759,76.587449,77.373108,87.547018,88.363148,87.300075,85.545662,86.239562
Slovak Republic,SVK,96.0,97.0,97.0,97.0,97.0,6.67,6.92,7.13,7.75,8.954117647058823,18.91,19.16,18.75,19.4,45.95,96.0,96.0,96.0,95.0,95.0,77.26585366,77.66585366,76.86585366,74.61463415,77.06585366,76.826998,77.519333,77.672763,73.399213,74.054385,89.411317,89.687556,89.679841,87.417731,87.802014
Slovenia,SVN,93.0,95.0,95.0,86.0,89.0,8.28,8.5,9.43,9.48,8.85,11.98,11.66,12.47,12.9,45.95,93.0,94.0,94.0,95.0,96.0,81.37804878,81.52926829,80.53170732,80.67560976,81.28292683,86.249455,86.948799,85.894358,85.572083,87.52857,93.674477,93.853374,93.354115,93.290713,94.081827
Solomon Islands,SLB,85.0,94.0,94.0,87.0,89.0,3.77378345,4.32405567,4.79699087,4.76345396,8.99,3.70020819,3.68255544,3.4970479,3.63947797,45.95,93.0,81.0,81.0,67.0,90.0,70.173,70.382,70.199,70.348,70.742,70.177558,70.666338,70.190194,70.529041,71.129648,76.757944,77.042495,76.907755,77.010612,77.809624
Somalia,SOM,42.0,42.0,42.0,42.0,42.0,5.93099344,6.284122465,6.68478942,6.51827264,9.13,4.76818228,4.7054168,4.442337035,4.573107125,45.95,46.0,46.0,46.0,46.0,46.0,56.375,57.078,55.967,55.28,56.107,48.67513,50.06342,45.982384,43.654134,44.86185,57.021465,57.857854,54.943012,52.900575,54.112813
South Africa,ZAF,82.0,85.0,84.0,86.0,85.0,8.08820343,8.24418926,8.57258797,8.27309132,9.27,5.83615637,5.72827816,5.38762617,5.50673628,45.95,81.0,83.0,84.0,87.0,86.0,65.674,66.175,65.252,62.341,61.48,51.826009,53.687107,51.766718,46.18486,44.233683,65.967121,66.977835,64.147429,58.858036,57.223982
