Country Name,Country Code,Access to electricity (% of population),Adequacy of social protection and labor programs (% of total welfare of beneficiary households),"Air transport, passengers carried",Compensation of employees (current LCU),"Contraceptive prevalence, any method (% of married women ages 15-49)",Control of Corruption: Estimate,Cost of business start-up procedures (% of GNI per capita),"Current education expenditure, total (% of total expenditure in public institutions)",Current health expenditure (% of GDP),Forest area (% of land area),Gini index,Government Effectiveness: Estimate,"Hospital beds (per 1,000 people)","Immunization, DPT (% of children ages 12-23 months)","Immunization, HepB3 (% of one-year-old children)","Immunization, measles (% of children ages 12-23 months)",Individuals using the Internet (% of population),"Inflation, consumer prices (annual %)","Intentional homicides (per 100,000 people)","Internally displaced persons, total displaced by conflict and violence (number of people)",Lending interest rate (%),"Life expectancy at birth, total (years)","Literacy rate, adult total (% of people ages 15 and above)",Losses due to theft and vandalism (% of annual sales for affected firms),Mobile cellular subscriptions (per 100 people),"Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (per 100,000 population)",Multidimensional poverty headcount ratio (World Bank) (% of population),Net migration,Out-of-pocket expenditure (% of current health expenditure),"Persistence to last grade of primary, total (% of cohort)","Physicians (per 1,000 people)",Political Stability and Absence of Violence/Terrorism: Estimate,Pregnant women receiving prenatal care (%),Prevalence of moderate or severe food insecurity in the population (%),Prevalence of severe food insecurity in the population (%),Prevalence of undernourishment (% of population),"Primary completion rate, total (% of relevant age group)",Profit tax (% of commercial profits),Proportion of population pushed below the $2.15 ($ 2017 PPP) poverty line by out-of-pocket health care expenditure (%),Proportion of seats held by women in national parliaments (%),"Pupil-teacher ratio, primary",Rail lines (total route-km),Refugee population by country or territory of asylum,Regulatory Quality: Estimate,Risk of impoverishing expenditure for surgical care (% of people at risk),Rule of Law: Estimate,"Share of youth not in education, employment or training, total (% of youth population)",Statistical performance indicators (SPI): Overall score (scale 0-100),"Suicide mortality rate (per 100,000 population)","Survival to age 65, female (% of cohort)","Survival to age 65, male (% of cohort)",Total greenhouse gas emissions (kt of CO2 equivalent),Total tax and contribution rate (% of profit),"Unemployment, total (% of total labor force) (national estimate)",Voice and Accountability: Estimate,"Women making their own informed decisions regarding sexual relations, contraceptive use and reproductive health care (% of women age 15-49)","Women participating in the three decisions (own health care, major household purchases, and visiting family) (% of women age 15-49)"
Ethiopia,ETH,48.0,32.987329775384616,12631216.0,31569178387.0,41.4,-0.435477555,45.4,88.679673764,3.23382378,15.18867857,30.75,-0.66152519,4.058,68.0,68.0,58.0,16.0,15.80963217,1.7623431056,1324000.0,8.759152238666667,65.838,89.01666934269231,1.1400000000000001,36.73307203,40.7,1.2000000000000002,-10803.0,37.9252243,87.07765198,3.7998,-1.303721905,73.6,56.3,16.4,20.7,64.35500336,24.6,0.798,38.75685558,,6617.6,733123.0,-0.910632014,1.8,-0.484146088,7.6704,53.59916667,5.4,72.321667,61.400947,159695.3463,37.7,5.3864,-1.062618136,,
Faroe Islands,FRO,100.0,33.34809143846154,7165754.5,16275134009.15,40.27777777777778,0.12630936499999995,29.95,88.968176266,3.7425925749999998,0.05730659,30.725,0.05048152800000005,3.822,82.5,82.5,77.0,46.59335,8.791366997499999,1.6638897263999999,1196125.0,7.3933044773333325,82.64634146,88.99241989923077,1.1600000000000001,106.3427565,25.75,1.4000000000000001,580.0,28.540834425,80.729812625,3.9652000000000003,-0.2619740664999999,75.97999999999999,35.3,9.2,13.2,83.28032303,22.1,0.8645,29.18234936,,6386.066666666667,366567.5,-0.43858816850000004,1.2000000000000002,-0.030757278,7.5756000000000006,55.6,7.2,90.558918,87.001501,80941.437619,34.900000000000006,5.8226,-0.520067999,,
Fiji,FJI,96.1,33.708853101538466,1700293.0,981089631.3,39.15555555555555,0.688096285,14.5,89.256678768,4.25136137,62.03284072,30.7,0.762488246,3.5860000000000003,97.0,97.0,96.0,77.1867,1.773101825,1.5654363472,1068250.0,6.027456716,67.893,88.96817045576923,1.1800000000000002,112.143753,10.8,1.6,-11865.0,19.15644455,74.38197327,4.1306,0.779773772,78.36,14.3,2.0,5.7,102.2056427,19.6,0.931,19.60784314,,6154.533333333333,12.0,0.033455677,0.6000000000000001,0.422631532,7.4808,57.60083333,9.0,70.45563,62.005472,2187.528938,32.1,6.258800000000001,0.022482138,,
Finland,FIN,100.0,34.06961476461539,14610547.0,6466298723.0,38.03333333333333,2.114005089,0.7,89.54518127,9.17,73.73079327,27.7,1.972871304,3.35,91.0,95.0,96.0,89.6074,1.02409393,1.466982968,940375.0,10.421965372799999,81.98292683,88.94392101230768,1.2000000000000002,129.4929527,0.8,1.0,15558.0,17.42,99.49342346,4.296,0.835154116,80.74,8.0,1.9,2.5,99.43659973,12.1,0.9975,47.0,,5923.0,23458.0,1.840472221,0.0,2.012981415,7.386,88.5075,15.3,93.15095,86.639122,52762.97326,36.6,6.695,1.56277895,,
France,FRA,100.0,34.43037642769231,71289277.0,136738000000.0,36.91111111111111,1.24832809,0.7,91.5382309,11.0888586,31.35673546,31.2,1.33828783,6.1,96.0,93.0,92.0,83.3397,1.108254923,1.169259043,812500.0,14.8164740296,82.82682927,88.91967156884616,1.22,111.8637727,3.4,0.9,17403.0,9.45291996,94.5467853525,3.311,0.271274894,83.12,5.8,0.7,2.5,90.59606679333334,0.2,1.064,39.68804159,,28157.0,407915.0,1.431537747,0.0,1.371217132,12.618,86.56333333,13.8,92.444753,85.336139,412999.0434,60.7,8.415,1.114719748,,
French Polynesia,PYF,100.0,34.79113809076923,47562698.71503334,412843500000.0,35.78888888888889,0.18010833849999996,7.000000000000001,91.54737244,6.92861092,43.05963699,32.375,0.19038489449999996,4.38,83.0,81.5,77.0,76.01259999999999,1.7864112425,1.387444611,684625.0,19.2109826864,82.996,88.89542212538461,1.24,106.1000877,10.45,1.875,-861.0,16.270471094999998,89.600147245,1.9605,0.09806675449999999,85.5,22.533333333333335,9.033333333333333,5.9,81.75553385666666,10.25,1.1305,28.799244674999997,,14402.5,204184.5,0.23655447350000003,9.3,0.308011711,15.963000000000001,57.30895833,11.100000000000001,94.757336,90.746462,214046.70329,53.900000000000006,9.202499999999999,0.03564310049999997,,
Gabon,GAB,90.3,35.15189975384616,23836120.430066667,688949000000.0,34.666666666666664,-0.888111413,13.3,91.55651398,2.76836324,91.36678698,33.55,-0.957518041,2.6599999999999997,70.0,70.0,62.0,68.6855,2.464567562,1.6056301789999998,556750.0,23.6054913432,66.603,88.87117268192307,1.26,133.4416659,17.5,2.85,2230.0,23.08802223,84.65350913750001,0.61,-0.075141385,87.88,39.266666666666666,17.366666666666667,20.9,72.91500092,20.3,1.197,17.91044776,,648.0,454.0,-0.9584288,18.6,-0.75519371,19.308,28.05458333,8.4,70.237079,60.304179,15094.36318,47.1,9.989999999999998,-1.043433547,,
"Gambia, The",GMB,62.1,35.51266141692308,109542.1451,345403000000.0,33.544444444444444,-0.408288747,49.5,91.56565551999999,3.158566,24.54545455,34.725,-0.765243173,0.94,88.0,88.0,85.0,35.6,7.115676256,1.8238157469999998,428875.0,28.0,63.755,88.84692323846154,1.28,103.0224594,29.5,3.8249999999999997,-4186.0,20.21388626,79.70687103,0.1,0.214429125,90.26,56.0,25.7,18.3,68.6075592,24.4,1.2635,10.34482759,,1013.0,4302.0,-0.717234313,72.4,-0.407074153,22.653,44.23375,4.8,65.560836,59.89967,2391.425602,48.4,10.7775,-0.249232844,,
Georgia,GEO,100.0,35.87342308,509913.0,1857000000.0,32.42222222222222,0.716376483,2.1,91.57479706,6.66,40.61591596,35.9,0.766231835,4.64,94.0,94.0,99.0,68.8467,4.852898217,2.042001315,301000.0,10.8164,73.47,88.822673795,1.3,142.7295197,3.3,4.8,-5414.0,46.77,98.2835083,7.503,-0.498185903,92.64,39.7,9.5,3.1,98.48166656,7.8,1.33,14.76510067,,1378.0,1355.0,1.026524186,5.5,0.248666972,25.998,80.06041667,9.2,87.693157,66.556247,17843.006,9.9,11.565,0.167866066,,
Germany,DEU,100.0,34.45292389692308,109633750.7,33552487220.0,31.299999999999997,1.86536622,6.5,91.5839386,11.71550655,32.68267552,31.8,1.495465875,7.91,91.0,88.0,97.0,88.1345,1.445659769,0.749265098,293625.0,10.275504652833334,81.29268293,88.79842435153846,1.3,128.9265144,3.2,0.3,360560.0,13.4410553,98.5763778675,4.391,0.548454642,95.02000000000001,3.4,0.7,2.5,99.6325531,23.2,1.266842105263158,30.88857546,,33423.0,1146682.0,1.714938879,0.0,1.581253052,5.607,87.49791667,12.3,92.077723,86.017743,751652.422,48.8,3.163,1.3536551,,
Ghana,GHA,83.5,33.032424713846154,597343.0,22219027550.0,30.177777777777777,-0.108893923,12.3,89.87894948333333,4.29847813,35.06407665,32.233333333333334,-0.290070623,6.6866666666666665,97.0,97.0,92.0,22.0732,7.143640033,1.81141662,286250.0,9.734609305666666,64.74,88.77417490807693,1.3,129.6132895,25.2,1.2,-21860.0,28.23320961,98.869247435,0.103,0.118470922,97.4,38.2,6.0,5.7,111.50982665000001,10.0,1.203684210526316,13.09090909,26.99486,23042.0,11946.0,-0.185462952,33.5,0.015498661,8.063666666666666,61.99583333,6.6,68.421618,60.294977,36070.4143,55.4,7.790333333333333,0.550957501,,
Gibraltar,GIB,100.0,31.611925530769234,8361040.665,20223143155.0,29.055555555555554,-0.0474109495,6.9,88.17396036666666,6.24829531,0.0,32.66666666666667,0.012210533000000023,5.463333333333333,98.0,96.5,94.5,48.8722,3.6983237774999997,1.2745366765,278875.0,9.1937139585,82.363,88.74992546461539,1.3,124.0232523,16.4,2.1,-58.0,30.937968255,99.1621170025,3.1750000000000003,0.140420161,97.35000000000001,23.400000000000002,3.85,4.1,123.3871002,16.5,1.1405263157894736,16.87878788,26.618695,12661.0,46200.0,0.16593143349999998,16.9,0.086620171,10.520333333333333,73.67833333,5.85,92.488807,88.456529,57360.093550000005,53.65,12.417666666666667,0.6809583605,,
Greece,GRC,100.0,30.191426347692307,16124738.33,18227258760.0,27.93333333333333,0.014072024,1.5,86.46897125,8.19811249,30.26997673,33.1,0.314491689,4.24,99.0,96.0,97.0,75.6712,0.253007522,0.737656733,271500.0,8.652818611333334,81.63902439,88.72567602115384,1.3,112.370475,7.6,3.0,-21581.0,33.6427269,99.45498657,6.247,0.1623694,97.30000000000001,8.6,1.7,2.5,97.83740234,23.0,1.0773684210526315,20.66666667,26.24253,2280.0,80454.0,0.517325819,0.3,0.157741681,12.977,85.36083333,5.1,93.555973,85.745314,78649.7728,51.9,17.045,0.81095922,,
Greenland,GRL,100.0,28.770927164615387,12120391.2475,20773085441.25,26.81111111111111,1.112229705,7.95,88.5214157075,6.56500435,0.000535997,34.77777777777778,0.786948085,3.2975000000000003,96.5,95.0,95.5,72.6417,0.4255786435,6.887547276499999,264125.0,8.111923264166666,71.94439024,88.70142657769232,1.3,110.2358263,7.15,4.311111111111111,-338.0,44.031841279999995,93.71408653,5.996636363636363,1.887186527,97.25,16.1,5.0,5.4,93.560911175,24.75,1.0142105263157895,33.66666667,25.866365,2762.518181818182,60442.5,1.347490788,8.525000000000002,1.710528135,18.456,79.278854165,2.9,81.020217,70.229446,40529.189978500006,49.849999999999994,13.603000000000002,1.262557507,,
Grenada,GRD,93.0,27.350427981538463,8116044.165,23318912122.5,25.688888888888886,0.337976843,14.4,90.573860165,4.93189621,52.05882353,36.455555555555556,-0.108668253,2.355,94.0,94.0,94.0,69.6122,0.598149765,13.03743782,256750.0,7.571027917,74.863,88.67717713423077,1.3,94.670969,6.7,5.622222222222222,-190.0,54.42095566,87.97318649,5.746272727272727,0.937967896,97.2,23.6,8.3,8.3,89.28442000999999,26.5,0.9510526315789474,46.66666667,25.490199999999998,3245.0363636363636,40431.0,-0.293633938,16.750000000000004,0.187111259,23.935,73.196875,0.7,83.906462,73.423652,2408.607157,47.8,10.161,0.679247379,,
Guam,GUM,100.0,25.92992879846154,4111697.0824999996,25864738803.75,24.566666666666666,1.176592231,15.850000000000001,92.6263046225,5.5532372,51.85185185,38.13333333333333,0.217699736,1.4124999999999996,89.5,89.5,92.0,57.006600000000006,2.1490668724999997,4.151247746,249375.0,10.1559306235,77.717,88.65292769076923,1.3,108.34833835,11.0,6.933333333333334,-1852.0,55.20506668,82.23228645,5.495909090909091,0.883918047,97.15,36.6,13.75,11.2,85.007928845,23.35,0.8878947368421053,33.020833335,25.114034999999998,3727.5545454545454,20419.5,0.061522298,24.975000000000005,1.268459797,26.06,67.114895835,3.3,85.991489,74.42207,18588.9235035,41.5,6.177,1.162603259,,
Guatemala,GTM,95.4,24.509429615384615,107350.0,28410565485.0,23.444444444444443,-0.915391564,17.3,94.67874908,6.17457819,33.02911534,39.81111111111112,-0.726433575,0.47,85.0,85.0,90.0,44.401,3.69998398,25.64546619,242000.0,12.74083333,73.129,88.62867824730769,1.3,122.0257077,15.3,8.244444444444444,-58095.0,55.9891777,76.49138641,5.2455454545454545,-0.577349424,97.1,49.6,19.2,14.1,80.73143768,20.2,0.8247368421052631,19.375,24.73787,4210.072727272727,408.0,-0.33517915,33.2,-1.100035071,28.185,61.03291667,5.9,79.646451,70.157375,34769.23985,35.2,2.193,-0.333213925,,
Guinea,GIN,42.2,23.08893043230769,81132.33333333333,44228161742.5,22.32222222222222,-0.915901423,33.8,97.97048187,4.08876228,25.34999186,41.488888888888894,-0.855753899,1.04,47.0,47.0,47.0,23.3663,9.470010393,22.772490833333332,182025.0,11.986944443333332,59.72,88.60442880384616,1.3,99.96476034,57.8,9.555555555555555,-3243.0,59.2154274,76.53371276600001,4.995181818181818,-0.84259665,97.05,74.1,49.7,12.5,56.99700165,0.0,0.761578947368421,22.80701754,24.361705,4692.590909090909,4964.0,-0.812190235,72.6,-1.238390446,34.301,45.87541667,7.0,59.967632,55.582646,28653.67333,69.3,5.018,-0.76840955,,
Guinea-Bissau,GNB,30.9,21.668431249230768,54914.666666666664,60045758000.0,21.2,-1.497948885,88.8,96.528714495,7.16052532,70.71301565,43.16666666666667,-1.560129285,1.61,78.0,78.0,79.0,22.9201,0.246600268,19.899515476666668,122050.0,11.233055556666667,60.882,88.58017936038462,1.3,80.71131758,49.4,10.866666666666667,-1395.0,69.48217773,76.576039122,4.744818181818182,-0.561577141,97.0,69.8,21.0,35.3,65.01139526600001,15.1,0.6984210526315788,13.7254902,23.98554,5175.109090909091,1846.0,-1.271798849,84.7,-1.303054333,14.03,33.4025,7.0,61.235659,52.229574,2514.69303,45.5,2.413,-0.481393307,,
Guyana,GUY,91.6,20.247932066153844,28697.0,808864606400.0,37.266666666666666,-0.14282234,9.4,95.08694712,4.90331507,93.59685039,44.84444444444445,-0.395518303,2.18,99.0,99.0,98.0,61.1,2.087230892,17.02654012,62075.0,10.47916667,69.124,88.55592991692308,1.3,97.40182509,8.6,12.177777777777777,-24678.0,35.02374649,76.618365478,4.494454545454546,-0.254104406,96.7,76.25,34.9,3.6,73.025788882,19.6,0.6352631578947368,31.88405797,23.609375,5657.627272727273,14.0,-0.611618996,65.55,-0.445426762,45.662,41.48958333,40.3,74.163823,60.100236,5069.396758,30.6,13.172,0.254230648,,
Haiti,HTI,45.4,18.827432883076924,174970.0,1557683454800.0,53.33333333333333,-1.346805215,179.7,93.64517974500001,3.91107917,12.71444122,46.522222222222226,-2.067066431,4.87,51.0,51.0,65.0,39.262,18.70378257,29.06789551,2100.0,14.12166667,64.255,88.53168047346155,1.3,61.31820274,25.9,13.488888888888889,-34635.0,39.03829193,76.66069183399999,4.244090909090909,-0.887624741,96.39999999999999,82.7,48.8,43.6,81.04018249800001,22.8,0.5721052631578947,2.542372881,23.23321,6140.145454545454,44.5,-1.315816402,46.4,-0.975454748,36.884,37.51625,9.6,70.303878,57.201933,10321.15836,42.7,9.435,-0.746365845,,
Honduras,HND,91.1,17.4069337,321243.0,2306502303200.0,69.4,-0.875686288,28.1,92.20341237,7.30497599,57.02216463,48.2,-0.619096458,0.65,88.0,88.0,89.0,39.3884,4.365871598,41.1092509,247000.0,17.33916667,72.881,88.50743103,1.3,75.91082245,7.1,14.8,-6550.0,52.46878433,76.70301819,3.9937272727272726,-0.569066167,96.1,45.6,14.6,14.5,89.05457611400001,29.2,0.5089473684210525,21.09375,22.857045,6622.663636363636,75.0,-0.495705456,43.6,-1.04142189,28.106,61.17625,2.1,82.285387,73.232388,22120.91325,39.1,5.698,-0.571924388,,
"Hong Kong SAR, China",HKG,100.0,14.694106395999999,46469864.0,3055321151600.0,68.79375,1.652782321,0.5,90.761644995,6.792487995,39.76721863,39.1,1.707074881,3.78,93.5,88.75,94.0,91.7434,2.883208538,0.320165568,302750.0,5.104166667,85.15585366,89.49303713727274,1.3,286.2244771,4.55,7.6000000000000005,0.0,40.129392165,98.188591,3.7433636363636364,-0.228379548,95.69411764705882,27.1,8.0,2.5,97.06896973,16.5,0.4457894736842104,16.828282035,22.48088,7105.181818181818,128.0,1.975533724,22.150000000000002,1.565521359,6.725,73.005208335,9.350000000000001,95.490679,90.611421,42107.325945000004,21.9,2.917,0.128072426,,
Hungary,HUN,100.0,11.981279092,39803373.0,3804140000000.0,68.1875,0.031154292,4.5,89.31987762,6.28,22.51227263,30.0,0.450595975,6.91,99.0,89.5,99.0,80.3717,3.338586354,0.654946166,358500.0,1.792433788,76.3195122,90.47864324454545,1.3,105.1259564,2.0,0.4,33559.0,27.79,98.84346008,3.493,0.761821568,95.28823529411764,8.6,1.4,2.5,93.05194855,9.4,0.3826315789473682,12.56281407,22.104715,7587.7,5750.0,0.592322171,0.7,0.498275101,11.002,84.83416667,16.6,87.281903,73.976514,62093.73864,37.9,3.419,0.342962503,,
Iceland,ISL,100.0,9.268451788,4656017.0,217396000000.0,67.58125000000001,1.670874357,1.9,94.27101135,8.58,0.502727363,31.9,1.482123852,2.8,92.0,90.25,93.0,99.5049,3.013971792,0.277181453,414250.0,6.95,83.16341463,91.46424935181818,1.5555555555555556,114.5997217,2.4,1.6,5152.0,15.55,98.88137817,3.891,1.61964798,94.88235294117646,6.6,1.5,2.5,99.38864899,8.5,0.31947368421052613,38.0952381,21.72855,37500.885,894.0,1.362990022,0.1,1.72634089,5.237,78.01333333,11.9,93.502686,89.70245,2848.394617,31.9,3.507,1.302084804,,
India,IND,95.9,6.555624483999999,167499116.0,186431198000000.0,66.97500000000001,-0.302205294,7.2,94.22783406333333,2.95,24.18062754,33.8,0.130844653,1.63,91.0,91.0,95.0,29.5235,3.729505735,2.92666093,470000.0,9.46625,70.91,92.44985545909091,1.8111111111111111,83.25286162,36.4,2.8,-593495.0,52.0,98.49291992,2.1790000000000003,-0.796840608,94.47647058823529,6.199999999999999,0.75,14.4,96.30937195,21.6,0.25631578947368405,14.39114391,21.352384999999998,67414.07,195103.0,-0.150565445,46.3,-0.06662368,31.195,70.36708333,12.7,76.478514,69.849344,3412419.303,49.7,6.51,0.268094271,,
Indonesia,IDN,98.9,3.84279718,91323153.0,372645000000000.0,66.36875,-0.473180324,5.7,94.18465677666666,2.87862897,49.39429641,35.4,0.138761014,1.18,85.0,85.0,88.0,47.6906,3.03058665,2.35839375625,37000.0,10.36583333,70.518,93.43546156636364,2.0666666666666664,126.5946679,15.8,4.0,-40567.0,35.07468796,98.56886164166667,0.467,-0.502156675,94.07058823529411,5.8,0.0,6.0,104.6110001,18.1,0.19315789473684197,17.39130435,20.976219999999998,5483.0,10287.0,0.02895139,22.6,-0.346690059,20.547,72.2025,2.4,77.587465,69.372573,1020913.716,30.1,3.59,0.13128832,,
"Iran, Islamic Rep.",IRN,100.0,4.262949520666666,21641449.39,206116200000000.0,65.7625,-1.071325779,1.1,94.14147949,6.27398872,6.621553159,36.5,-0.599489987,1.86,99.0,99.0,99.0,72.4509,39.90734557,1.7901265825000001,785000.0,8.999378389399999,76.103,94.42106767363636,2.322222222222222,136.3859613,2.9,0.8,-34571.0,38.88759613,98.64480336333334,1.4256666666666666,-1.711465359,93.66470588235293,42.5,8.7,7.0,97.08075714,18.4,0.13,5.882352941,20.600054999999998,9454.0,979435.0,-1.442500114,30.7,-0.770798504,30.401,56.68833333,5.2,88.517992,80.304891,856657.5668,44.7,10.74,-1.386406064,,
Iraq,IRQ,100.0,4.683101861333333,5434292.0,39587400000000.0,65.15625,-1.389802694,34.2,93.98426818499999,4.25509405,1.900361184,33.65,-1.310656309,1.2,84.0,84.0,82.0,44.3263,-0.19896538,1.22185940875,1533000.0,7.6329234488,71.576,95.40667378090909,2.5777777777777775,89.56113197,4.4,0.6000000000000001,-29880.0,50.09696198,98.720745085,2.384333333333333,-2.609148026,93.25882352941176,25.4,6.5,16.9,98.85653687,15.0,0.11555555555555556,25.22796353,20.223889999999997,5671.0,273986.0,-1.096590996,15.35,-1.771152735,20.2915,34.80166667,3.6,80.477687,72.60455,285961.7366,30.8,7.845000000000001,-0.964265943,,
Ireland,IRL,100.0,5.1032542020000005,170161848.0,21748970000.0,64.55000000000001,1.458833456,0.1,93.82705688,6.7090106,11.29365655,30.8,1.257655025,2.9,94.0,93.0,91.0,87.0001,0.937842961,0.653592235,1380666.6666666667,6.266468508199999,82.70243902,96.39227988818182,2.833333333333333,105.3980591,2.7,0.4,29113.0,12.13262558,98.79668680666667,3.343,0.95930326,92.85294117647058,8.3,4.3,2.5,100.6323166,12.4,0.10111111111111111,22.15189873,19.847724999999997,1888.0,7795.0,1.59087956,0.0,1.347805619,10.182,87.0375,9.6,93.149527,89.325989,61602.32693,26.1,4.95,1.303199172,,
Isle of Man,IMN,100.0,5.523406542666667,88615153.0,69473485000.0,63.94375,1.116473615,1.4000000000000001,91.997756955,6.9395053,6.070175439,34.55,1.273199618,3.01,96.0,94.5,95.0,86.894,0.8938130445,1.0935319125,1228333.3333333333,4.900013567599999,80.737,97.37788599545453,3.0888888888888886,120.65969834999999,2.35,0.5,239.0,16.746312789999998,98.87262852833334,3.4425,0.07187143000000007,92.44705882352942,11.0,3.0999999999999996,2.5,97.54399491,15.2,0.08666666666666667,22.74261603,19.471559999999997,1743.458,11951.0,1.4303950075,0.8,1.1799446345,12.2335,82.586666665,7.449999999999999,91.000402,86.730924,74396.820395,25.700000000000003,4.3405000000000005,0.9810183345000001,,
Israel,ISR,100.0,5.943558883333333,7068458.0,117198000000.0,63.337500000000006,0.774113774,2.7,90.16845703,7.17,6.469500924,38.3,1.288744211,3.12,98.0,96.0,99.0,86.7879,0.849783128,1.53347159,1076000.0,3.533558627,82.80487805,98.36349210272726,3.344444444444444,135.9213376,2.0,0.6,16132.0,21.36,98.94857025,3.542,-0.8155604,92.04117647058824,13.7,1.9,2.5,94.45567322,18.0,0.07222222222222222,23.33333333,19.095395,1598.916,16107.0,1.269910455,1.6,1.01208365,14.285,78.13583333,5.3,93.777372,88.560611,87191.31386,25.3,3.731,0.658837497,,
Italy,ITA,100.0,6.363711224,27760301.0,100011000000.0,62.73125,0.234261185,13.8,94.85688019,8.66,32.16697045,34.6,0.451061338,3.16,96.0,95.0,94.0,67.8507,0.611246944,0.530739956,923666.6666666666,2.6025,83.49756098,99.34909821,3.6,133.0713342,3.0,2.5,21615.0,23.46,99.86678314,4.051,0.381040454,91.63529411764706,6.7,1.2,2.5,98.36759186,14.6,0.057777777777777775,35.71428571,18.719229999999996,16778.6,207602.0,0.942923725,0.2,0.273004681,18.242,89.86583333,6.7,94.075893,89.950748,390001.3633,59.1,9.952,0.905116975,,
Jamaica,JAM,98.9,6.783863564666667,78996826.5,195935000000.0,62.125,-0.113833971,4.2,98.36051178,6.09761,54.75530933,32.95,0.58901006,1.73,96.0,96.0,94.0,70.841,3.905100009,47.62288927,771333.3333333333,12.99845527,71.767,99.37190732454545,2.7666666666666666,107.4668426,2.3,3.0166666666666666,-11329.0,16.43945885,64.89733887,3.5383333333333336,0.388235539,91.22941176470589,48.4,23.3,6.6,89.74461365,13.6,0.043333333333333335,17.46031746,18.343065,16599.149999999998,104532.5,0.084404744,6.8,-0.310624003,22.908,54.64291667,2.4,79.578964,70.101547,10009.78586,35.1,4.987,0.613028824,,
Japan,JPN,100.0,7.204015905333334,130233352.0,5727200000000.0,61.518750000000004,1.431167245,7.5,87.18080139,10.97,68.40877915,31.3,1.550190926,12.88,98.0,99.0,96.0,92.7304,0.468776159,0.253593885,619000.0,10.831727635,84.35634146,99.3947164390909,1.9333333333333333,148.2722187,8.4,3.533333333333333,183953.0,12.9,79.286270145,3.025666666666667,1.019695044,90.82352941176471,3.4,0.7,2.5,92.63740794,23.9,0.02888888888888888,10.10752688,17.9669,16419.699999999997,1463.0,1.314648986,0.1,1.497002721,3.14,85.80916667,15.3,94.509585,89.609494,1157544.668,46.7,2.351,0.929792583,,
Jordan,JOR,99.9,7.624168246,3478444.0,4017000000.0,60.9125,0.080424912,23.3,85.68113708,6.99518251,1.098047165,29.65,0.074895501,1.36,89.0,89.0,87.0,70.0847,0.761514047,1.140327219,466666.6666666665,8.665,76.044,99.41752555363637,1.1,72.70773421,1.9,4.05,28963.0,36.00538254,93.67520142,2.513,-0.274439603,90.41764705882353,3.0,0.35,2.5,95.53020223,10.5,0.01444444444444444,15.38461538,17.590735,16240.25,2966079.0,0.029683931,0.4,0.132585108,36.001,62.01041667,1.6,88.012181,80.940117,34899.00556,28.6,16.801,-0.695054591,,
Kazakhstan,KAZ,100.0,8.044320586666668,7656866.0,652999000000.0,60.306250000000006,-0.285695314,0.2,100.0,2.79,1.268822462,28.0,0.068959303,5.13,97.0,97.0,99.0,81.8776,5.333560989,2.116733923,314333.33333333326,10.553066444999999,73.18,99.44033466818182,4.1,137.1299254,3.2,4.566666666666666,-37080.0,33.86,97.14414215,3.948,-0.167979881,90.01176470588236,2.6,0.0,2.5,98.42299652,16.4,0.0,27.10280374,17.21457,16060.8,518.0,0.107311986,0.7,-0.509888172,27.834,78.55916667,17.6,82.859827,64.10782,286967.6223,28.4,4.8,-1.230161667,,
Kenya,KEN,69.7,8.464472927333334,6417534.056,686845000000.0,59.7,-0.807418883,22.4,95.671512605,4.36874676,6.344818498,27.9,-0.441803724,1.33,91.0,91.0,89.0,22.6688,5.239637958,3.093140627,162000.0,12.44113289,62.943,99.46314378272727,5.38,107.0734925,29.0,5.083333333333333,-61946.0,24.29976273,97.65723419,3.57525,-1.105736017,89.60588235294118,67.7,24.9,23.0,98.7936420425,30.1,0.005714285714285714,21.7765043,17.030751,13072.887499999999,438899.0,-0.338947535,63.3,-0.464465976,19.667,54.53791667,6.1,59.627453,49.040545,78594.30095,37.2,5.014,-0.307872742,,
Kiribati,KIR,89.3,8.884625268,65846.852,83325580.6,33.6,0.367132217,34.9,91.34302521000001,12.59,1.456790123,27.8,-0.051552676,5.026666666666667,97.0,97.0,94.0,42.9917,-1.813079953,2.253199314333333,125500.0,9.442699704333334,67.15,99.48595289727272,6.66,43.99352871,37.4,5.6,-691.0,0.63,98.17032623,3.2024999999999997,1.124233007,89.2,41.0,8.0,12.2,99.164287565,24.3,0.011428571428571429,6.52173913,16.846932,10084.974999999999,293664.6666666666,-0.456636727,23.1,0.817287028,52.01,24.4975,28.3,72.52102,65.077249,104.45706,32.7,8.557,1.074077964,,
"Korea, Dem. People's Rep.",PRK,48.4,15.5337821864,109095.0,25459841662790.3,33.96388888888889,-1.609050989,24.75,87.014537815,10.382397574999999,50.25595881,30.5,-1.434507608,8.723333333333333,97.0,97.0,98.0,69.57465,-0.7150398245,1.4132580016666665,89000.0,6.444266518666667,73.198,99.50876201181818,7.9399999999999995,16.51301564,4.1,2.8499999999999996,-3139.0,16.120615425,98.68341826999999,2.8297499999999998,-0.286907196,89.1888888888889,23.05,4.3,43.3,99.53493308750001,21.25,0.017142857142857144,17.61280932,16.663113,7097.0625,148430.3333333333,-2.418767452,11.600000000000001,-1.661251783,45.544,56.390625,9.4,82.919136,73.250809,79306.40199,32.95,6.1515,-2.206310749,,
