Country Name,Country Code,Access to electricity (% of population),Adequacy of social protection and labor programs (% of total welfare of beneficiary households),"Air transport, passengers carried",Compensation of employees (current LCU),"Contraceptive prevalence, any method (% of married women ages 15-49)",Control of Corruption: Estimate,Cost of business start-up procedures (% of GNI per capita),"Current education expenditure, total (% of total expenditure in public institutions)",Current health expenditure (% of GDP),Forest area (% of land area),Gini index,Government Effectiveness: Estimate,"Hospital beds (per 1,000 people)","Immunization, DPT (% of children ages 12-23 months)","Immunization, HepB3 (% of one-year-old children)","Immunization, measles (% of children ages 12-23 months)",Individuals using the Internet (% of population),"Inflation, consumer prices (annual %)","Intentional homicides (per 100,000 people)","Internally displaced persons, total displaced by conflict and violence (number of people)",Lending interest rate (%),"Life expectancy at birth, total (years)","Literacy rate, adult total (% of people ages 15 and above)",Losses due to theft and vandalism (% of annual sales for affected firms),Mobile cellular subscriptions (per 100 people),"Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (per 100,000 population)",Multidimensional poverty headcount ratio (World Bank) (% of population),Net migration,Out-of-pocket expenditure (% of current health expenditure),"Persistence to last grade of primary, total (% of cohort)","Physicians (per 1,000 people)",Political Stability and Absence of Violence/Terrorism: Estimate,Pregnant women receiving prenatal care (%),Prevalence of moderate or severe food insecurity in the population (%),Prevalence of severe food insecurity in the population (%),Prevalence of undernourishment (% of population),"Primary completion rate, total (% of relevant age group)",Profit tax (% of commercial profits),Proportion of population pushed below the $2.15 ($ 2017 PPP) poverty line by out-of-pocket health care expenditure (%),Proportion of seats held by women in national parliaments (%),"Pupil-teacher ratio, primary",Rail lines (total route-km),Refugee population by country or territory of asylum,Regulatory Quality: Estimate,Risk of impoverishing expenditure for surgical care (% of people at risk),Rule of Law: Estimate,"Share of youth not in education, employment or training, total (% of youth population)",Statistical performance indicators (SPI): Overall score (scale 0-100),"Suicide mortality rate (per 100,000 population)","Survival to age 65, female (% of cohort)","Survival to age 65, male (% of cohort)",Total greenhouse gas emissions (kt of CO2 equivalent),Total tax and contribution rate (% of profit),"Unemployment, total (% of total labor force) (national estimate)",Voice and Accountability: Estimate,"Women making their own informed decisions regarding sexual relations, contraceptive use and reproductive health care (% of women age 15-49)","Women participating in the three decisions (own health care, major household purchases, and visiting family) (% of women age 15-49)"
"Congo, Dem. Rep.",COD,19.1,32.278231225,550457.8926,3594530000000.0,41.37272727272727,-1.555178404,16.3,90.36125946,3.508039,56.13312896,49.75,-1.655687809,1.415,73.0,73.0,65.0,16.4812,2.6450551476666666,18.41313628,5512000.0,26.73583333,60.276,93.106927492,1.6526315789473682,41.29072644,52.3,3.5500000000000003,-144916.0,38.49700546,88.544647218,2.7335000000000003,-1.624438524,79.39166666666667,69.2,38.5,32.5,100.01881028,23.6,0.09411764705882354,10.0,,3641.0,523733.0,-1.522064447,56.65,-1.814208746,20.7495,33.75333333,6.7,61.831292,54.238348,55443.09684,50.7,10.5435,-1.31418848,,
"Congo, Rep.",COG,47.7,32.3602308475,541787.1369,331105000000.0,46.918181818181814,-1.435928583,62.2,93.065670015,2.54176092,64.30746706,48.975,-1.131626964,1.2525,79.0,79.0,73.0,48.8419,2.206073058,14.742968099999999,134000.0,17.740991469999997,62.747,92.035757448,1.5894736842105261,91.8162281,26.4,2.375,-6271.0,42.17203903,85.038925172,2.9707500000000002,-0.299301684,83.33333333333333,88.3,51.7,31.1,98.25637627,0.0,0.0823529411764706,11.25827815,,2640.3333333333335,25668.0,-1.292212963,68.1,-1.110405087,19.165750000000003,36.57666667,6.5,61.484853,54.719955,20022.05923,54.3,10.67525,-1.278579235,,
Costa Rica,CRI,99.7,32.44223047,2033146.0,3199230000000.0,52.46363636363636,0.627239466,9.6,95.77008057,7.22124958,59.11672542,48.2,0.347733319,1.09,95.0,94.0,95.0,81.2026,2.096046353,11.07279992,218000.0,8.74614961,79.427,90.964587404,1.526315789473684,143.7687874,2.9,1.2,4154.0,22.32456398,81.533203126,3.208,0.430242807,87.27499999999999,15.3,2.6,3.1,96.49394226,19.2,0.07058823529411767,45.61403509,,1639.6666666666667,6204.0,0.544661999,11.5,0.529437542,17.582,79.77791667,8.1,90.916154,83.407979,15718.67899,58.3,10.807,1.094360948,,
Cote d'Ivoire,CIV,68.6,30.806904118,748540.0,1560900000000.0,58.00909090909091,-0.564522326,2.7,95.98484039,3.21496511,9.275471698,38.55,-0.55929029,3.335,81.0,81.0,73.0,36.289,-1.10686344,5.9359397385,302000.0,7.9027967055,59.319,89.89341736,1.463157894736842,142.9449473,47.0,0.8999999999999999,-15520.0,37.26046371,78.02748108,0.16,-1.036474109,91.21666666666667,40.6,9.1,8.4,73.49450684,8.8,0.05882352941176472,10.98039216,,639.0,2020.0,-0.300067455,99.8,-0.610560477,21.917,56.10833333,8.9,52.972018,50.033805,25646.69991,50.1,2.401,-0.249252349,,
Croatia,HRV,100.0,29.171577766,2108591.0,3254667000.0,63.554545454545455,0.052742682,6.2,93.06931305,6.8,34.60456722,28.9,0.456991464,5.58,94.0,93.0,93.0,79.0798,0.771820346,0.799079557,283500.0,7.059443801,78.42439024,89.83045896,1.4,106.6565741,2.7,0.6,-12480.0,11.46,98.46626282,3.466,0.685416102,95.15833333333333,11.0,1.3,2.5,97.74690247,0.0,0.047058823529411764,20.52980132,,2617.0,916.0,0.552517653,0.2,0.348271519,11.776,68.45416667,16.4,92.090442,82.388662,22302.06393,20.5,6.617,0.454199225,,
Cuba,CUB,99.8,27.536251414,457130.0,3008190623.3333335,69.1,0.014697105,6.0,94.24882253,11.08496857,31.23314066,29.666666666666664,-0.177793011,4.17,99.0,99.0,99.0,67.9708,1.6970140900000001,4.418250503,265000.0,6.2160908965,77.611,89.76750056,3.0,53.39569959,9.7,0.7999999999999999,-13686.0,10.85016251,95.97029114,3.332666666666667,0.610411108,99.1,9.3,1.175,2.5,90.49581909,2.766666666666667,0.03529411764705884,53.2231405,,4311.75,233.0,-1.505015373,0.2,-0.341410756,12.403666666666666,72.56319444666667,14.5,87.107112,79.108991,39353.62809,21.133333333333333,6.796333333333333,-1.440074563,,
Curacao,CUW,100.0,25.900925062,426283.0,2761714246.6666665,68.19999999999999,0.3069582435,5.8,95.42833201,9.077484285,0.157657658,30.433333333333334,0.389079191,3.205,97.5,96.5,92.5,77.0172,2.622207834,2.8194586850000003,246500.0,5.372737991999999,79.504,89.70454216,4.6000000000000005,95.40617378,5.6499999999999995,1.0,-9592.0,22.290081254999997,96.593250275,3.199333333333333,0.5774621965,98.94285714285714,7.6,1.05,2.5,96.520660395,5.533333333333334,0.02352941176470591,35.54014168,,6006.5,42.0,-0.25264528399999997,0.2,0.192817509,13.031333333333334,76.67222222333334,9.05,89.61348,76.947254,23947.74803,21.766666666666666,6.975666666666667,-0.19655877350000006,,
Cyprus,CYP,100.0,24.26559871,395436.0,2515237870.0,67.3,0.599219382,5.6,96.60784149,7.07,18.67424242,31.2,0.955951393,2.24,96.0,94.0,86.0,86.0636,0.250370997,1.220666867,228000.0,4.5293850875,81.397,89.64158376,6.2,139.994482,1.6,1.2,4948.0,33.73,97.21620941,3.066,0.544513285,98.78571428571428,5.9,0.925,2.5,102.5455017,8.3,0.011764705882352955,17.85714286,,7701.25,12311.0,0.999724805,0.2,0.727045774,13.659,80.78125,3.6,92.870202,88.291142,8541.86797,22.4,7.155,1.046957016,,
Czechia,CZE,100.0,22.630272358,5446163.2,253670000000.0,66.39999999999999,0.533790946,1.1,88.99597168,7.60336018,34.65141732,25.3,0.919761837,6.66,97.0,97.0,92.0,80.8669,2.847875959,0.920576896,195885.7142857143,3.686032183,79.22926829,89.57862536,0.9,124.3382405,4.1,0.0,4030.0,14.09247589,99.57872009,4.119,0.941883624,98.62857142857142,4.2,0.8,2.5,95.83374023,5.2,0.0,22.5,,9396.0,2054.0,1.235328674,0.1,1.017312288,5.824,85.06083333,12.2,91.295525,82.648053,117767.1074,46.1,2.015,0.834337175,,
Denmark,DNK,100.0,20.994946006,4113060.4000000004,93828000000.0,65.5,2.121617317,0.2,93.22737885,10.15,15.6875,27.7,1.873381019,2.6,97.0,91.0,96.0,98.0464,0.758131573,1.138740325,163771.42857142858,4.970675011,81.45121951,89.51566696,0.92,124.9761468,4.1,0.9,23305.0,13.79,99.69313812,4.264,0.967484951,98.47142857142858,5.0,1.1,2.5,100.6303482,17.1,0.0665,39.10614525,,9164.466666666667,37533.0,1.547632575,0.0,1.833646059,7.722,86.54208333,10.7,92.189131,87.386307,43569.79676,23.8,5.018,1.543128371,,
