Country Name,Country Code,Access to electricity (% of population),Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),Compensation of employees (current LCU),Control of Corruption: Estimate,"Current education expenditure, total (% of total expenditure in public institutions)",Current health expenditure (% of GDP),Gini index,Government Effectiveness: Estimate,"Immunization, DPT (% of children ages 12-23 months)","Immunization, HepB3 (% of one-year-old children)","Immunization, measles (% of children ages 12-23 months)",Individuals using the Internet (% of population),"Inflation, consumer prices (annual %)","Internally displaced persons, total displaced by conflict and violence (number of people)",Lending interest rate (%),"Life expectancy at birth, total (years)","Literacy rate, adult total (% of people ages 15 and above)",Logistics performance index: Overall (1=low to 5=high),Losses due to theft and vandalism (% of annual sales for affected firms),Mobile cellular subscriptions (per 100 people),Multidimensional poverty headcount ratio (World Bank) (% of population),Net migration,Out-of-pocket expenditure (% of current health expenditure),"Persistence to last grade of primary, total (% of cohort)",Political Stability and Absence of Violence/Terrorism: Estimate,"Primary completion rate, total (% of relevant age group)",Proportion of seats held by women in national parliaments (%),Refugee population by country or territory of asylum,Regulatory Quality: Estimate,Risk of impoverishing expenditure for surgical care (% of people at risk),Rule of Law: Estimate,"Share of youth not in education, employment or training, total (% of youth population)",Statistical performance indicators (SPI): Overall score (scale 0-100),"Survival to age 65, female (% of cohort)","Survival to age 65, male (% of cohort)","Unemployment, total (% of total labor force) (national estimate)",Voice and Accountability: Estimate,"Women making their own informed decisions regarding sexual relations, contraceptive use and reproductive health care (% of women age 15-49)","Women participating in the three decisions (own health care, major household purchases, and visiting family) (% of women age 15-49)"
Somalia,SOM,48.9,33.324411764705886,148298975263.5,-1.7924546,93.75669424714286,9.129999999999999,39.54375,-2.026367903,42.0,42.0,46.0,27.6,6.2789279495,3864000.0,10.294761904571427,56.107,41.02500153,2.0,61.9,50.25710738,2.69375,-30000.0,45.95,85.96685027833333,-2.483434439,98.742614755,19.7080292,16023.0,-1.900155783,44.95,-2.286855459,26.203333333333333,48.38333333,54.112813,44.86185,23.515666666666668,-1.734435916,63.225,67.18333333333334
South Africa,ZAF,86.5,33.980000000000004,294962000000.0,-0.31976521,96.79193115,9.27,39.509375,-0.125317961,85.0,85.0,86.0,74.703,7.039726613,2669500.0,8.791666667,61.48,53.89185333499999,3.7,61.9,167.3958702,2.6343750000000004,58496.0,45.95,86.2139117876923,-0.72211808,99.4885406625,46.5,66596.0,-0.185125753,32.1,0.019737322,35.188,82.38125,57.223982,44.233683,33.268,0.707014203,62.31666666666666,66.34444444444445
South Sudan,SSD,8.4,34.63558823529412,160553000000.0,-1.85575521,96.84640433363636,9.41,39.475,-2.38986516,73.0,73.0,72.0,12.1407,-6.687320942,1475000.0,16.29349646,55.567,66.75870513999999,3.8,61.9,30.02012982,2.575,-30694.0,45.95,86.46097329705128,-2.210053921,100.23446657,32.36363636,308369.0,-2.103992701,16.15,-2.055449009,22.12,33.83041667,52.328355,45.64502,23.0925,-1.698617816,61.40833333333333,65.50555555555556
Spain,ESP,100.0,35.29117647058823,26144000000.0,0.685312092,96.90087751727272,9.549999999999999,39.440625000000004,0.92075789,93.0,93.0,96.0,94.4855,8.390576341,743500.0,13.212371279000001,83.08292683,79.625556945,3.9,61.9,124.0994495,2.515625,39998.0,45.95,86.70803480641025,0.265326977,100.9803924775,42.97994269,314490.0,0.797074437,0.2,0.799932122,9.052,91.4075,94.564687,88.88725,12.917,1.013012767,60.5,64.66666666666666
Sri Lanka,LKA,100.0,35.94676470588235,956210000000.0,-0.383287221,96.9553507009091,9.69,39.40625,-0.391204476,98.0,98.0,99.0,50.1067,49.72110211,12000.0,10.131246098000002,76.61,92.49240875,2.8,61.9,143.0794174,2.45625,-77495.0,45.95,86.95509631576923,-0.785569847,101.726318385,5.333333333,504.0,-0.653642833,30.3,-0.056925315,18.051,79.05041667,89.380769,77.108228,4.528,-0.191544354,59.59166666666667,63.827777777777776
St. Kitts and Nevis,KNA,100.0,36.60235294117647,844169285714.2858,0.389788479,97.00982388454545,9.83,39.371875,0.392122597,96.0,96.0,95.0,76.4575,2.668175331,720200.0,7.050120917,72.027,91.54037128545454,2.7199999999999998,61.9,132.425005375,2.396875,20.0,45.95,87.2021578251282,0.943862259,102.47224429250001,31.25,219828.8,0.58444494,39.14,0.502344728,22.7175,50.0025,82.803131,66.911811,10.230999999999998,0.764573812,58.68333333333334,62.98888888888889
St. Lucia,LCA,100.0,37.25794117647059,732128571428.5714,0.57885313,97.06429706818182,9.969999999999999,39.337500000000006,-0.097093813,81.0,81.0,81.0,74.1859,6.378146951,1428400.0,6.5128745,71.294,90.58833382090909,2.6399999999999997,61.9,121.77059335000001,2.3375000000000004,0.0,45.95,87.44921933448717,0.869225919,103.2181702,11.11111111,439153.6,0.439211994,47.980000000000004,0.661592185,27.384,66.00333333,82.396729,67.482904,15.934,0.844048798,57.775,62.15
St. Martin (French part),MAF,100.0,37.913529411764706,620087857142.8572,0.6674785910000001,97.11877025181818,10.11,39.303125,0.11044356600000002,86.5,90.0,88.5,75.96385000000001,6.0191223715,2136600.0,6.952431499999999,80.55,89.63629635636363,2.56,61.9,111.116181325,2.278125,0.0,45.95,87.69628084384615,0.956512183,102.55260165,14.646464645,658478.3999999999,0.3940398095,56.82,0.6529644130000001,33.76566666666667,60.64645833,93.264155,86.700414,13.132666666666665,0.8452834785000001,56.86666666666667,61.31111111111111
St. Vincent and the Grenadines,VCT,100.0,38.569117647058825,508047142857.1429,0.756104052,97.17324343545454,10.25,39.268750000000004,0.317980945,92.0,99.0,96.0,77.7418,5.660097792,2844800.0,7.3919885,68.972,88.68425889181817,2.48,61.9,100.4617693,2.21875,-200.0,45.95,87.94334235320513,1.043798447,101.8870331,18.18181818,877803.2,0.348867625,65.66,0.644336641,40.147333333333336,55.28958333,73.154657,61.648655,10.331333333333333,0.846518159,55.958333333333336,60.47222222222222
Sudan,SDN,63.2,39.22470588235294,396006428571.4286,-1.397860169,97.2277166190909,10.39,39.234375,-1.705309153,84.0,84.0,81.0,28.7045,138.8084602,3553000.0,11.070240675,65.578,87.73222142727272,2.4,61.9,73.96660858,2.159375,-9999.0,45.95,88.1904038625641,-1.998894215,101.22146455000001,23.796791445,1097128.0,-1.581311107,74.5,-1.264525056,46.529,43.57875,71.435972,61.400028,7.53,-1.500513196,55.05,59.63333333333333
