Country Name,Country Code,Access to electricity (% of population),Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),Compensation of employees (current LCU),Control of Corruption: Estimate,"Current education expenditure, total (% of total expenditure in public institutions)",Current health expenditure (% of GDP),Gini index,Government Effectiveness: Estimate,"Immunization, DPT (% of children ages 12-23 months)","Immunization, HepB3 (% of one-year-old children)","Immunization, measles (% of children ages 12-23 months)",Individuals using the Internet (% of population),"Inflation, consumer prices (annual %)","Internally displaced persons, total displaced by conflict and violence (number of people)",Lending interest rate (%),"Life expectancy at birth, total (years)","Literacy rate, adult total (% of people ages 15 and above)",Logistics performance index: Overall (1=low to 5=high),Losses due to theft and vandalism (% of annual sales for affected firms),Mobile cellular subscriptions (per 100 people),Multidimensional poverty headcount ratio (World Bank) (% of population),Net migration,Out-of-pocket expenditure (% of current health expenditure),"Persistence to last grade of primary, total (% of cohort)",Political Stability and Absence of Violence/Terrorism: Estimate,"Primary completion rate, total (% of relevant age group)",Proportion of seats held by women in national parliaments (%),Refugee population by country or territory of asylum,Regulatory Quality: Estimate,Risk of impoverishing expenditure for surgical care (% of people at risk),Rule of Law: Estimate,"Share of youth not in education, employment or training, total (% of youth population)",Statistical performance indicators (SPI): Overall score (scale 0-100),"Survival to age 65, female (% of cohort)","Survival to age 65, male (% of cohort)","Unemployment, total (% of total labor force) (national estimate)",Voice and Accountability: Estimate,"Women making their own informed decisions regarding sexual relations, contraceptive use and reproductive health care (% of women age 15-49)","Women participating in the three decisions (own health care, major household purchases, and visiting family) (% of women age 15-49)"
United States,USA,100.0,52.99205882352941,407481000000.0,1.104258776,97.99034119,16.57115173,41.3,1.255993128,94.0,93.0,92.0,97.1299,8.002799821,4143400.0,12.80137584,77.43414634,99.142692565,3.8,61.9,110.1664718,1.5,998540.0,45.95,89.1786499,-0.036005028,95.74352264,28.7037037,363059.0,1.424439907,0.2,1.371688485,11.244,92.79,86.438982,77.585606,3.65,0.845121861,67.9529411764706,54.6
Uruguay,URY,100.0,53.64764705882353,407481000000.0,1.610527992,97.99034119,16.57115173,40.6,0.849962711,94.0,94.0,96.0,89.873,9.104379831,3553200.0,10.86536223,78.0,99.5713348375,3.0,61.9,138.526391,0.2,-1500.0,45.95,89.1786499,1.095464587,96.73476027999999,25.25252525,1115.0,0.713579416,8.833333333333334,0.76768893,14.273,77.74833333,87.887997,78.366944,7.877,1.280333877,69.1764705882353,54.6
Uzbekistan,UZB,100.0,54.30323529411765,407481000000.0,-0.757623434,97.99034119,16.57115173,31.2,-0.329515904,99.0,99.0,99.0,83.9,11.4466437,2963000.0,21.74611546,71.674,99.99997711,2.6,61.9,103.0681174,2.3,-19999.0,45.95,89.1786499,-0.19621487,97.72599792,33.33333333,13026.0,-0.55031544,17.46666666666667,-0.854107201,13.4555,70.57166667,81.287468,69.33196,6.2885,-1.330252051,70.4,54.6
Vanuatu,VUT,70.0,54.95882352941177,407481000000.0,-0.028940963,97.99034119,16.57115173,32.833333333333336,-0.536280394,68.0,68.0,70.0,69.8888,6.679305819,2372800.0,8.805833333,70.492,98.79998779,2.45,61.9,78.19948583,1.9666666666666666,0.0,45.95,89.1786499,0.9496755,106.038002,1.923076923,21183.5,-0.090816133,26.1,0.32061547,12.638,51.22,78.624828,68.738929,4.699999999999999,0.709754884,70.4,54.6
"Venezuela, RB",VEN,100.0,55.614411764705885,407481000000.0,-1.651136756,97.99034119,16.57115173,34.46666666666667,-1.688180923,56.0,56.0,68.0,74.2394,4.9179066595,1782600.0,8.409583333,71.105,97.59999847,2.3,61.9,63.41889546,1.6333333333333333,297713.0,45.95,89.1786499,-1.256462216,110.94599915,16.0917989815,29341.0,-2.045843363,15.2,-2.197214365,11.8205,52.25,82.058206,66.170857,3.1114999999999995,-1.533925533,70.4,54.6
Viet Nam,VNM,100.0,56.27,407481000000.0,-0.287282676,97.99034119,16.57115173,36.1,0.175490797,91.0,91.0,88.0,78.59,3.1565075,1192400.0,8.013333333,74.58,96.13326263,3.3,61.9,139.9496874,1.3,-82700.0,45.95,89.1786499,-0.030564662,115.8539963,30.26052104,837646.6666666666,-0.429956317,17.7481644625,-0.158443406,11.003,72.16666667,87.611841,72.68571,1.523,-1.288703442,70.4,54.6
Virgin Islands (U.S.),VIR,100.0,45.1775,407481000000.0,-0.005950079,97.99034119,16.57115173,39.18,0.667918146,94.5,95.0,92.5,83.61845,3.4488657094999997,602200.0,28.646666660833333,80.3195122,96.98855209,3.1999999999999997,61.9,129.33312493333332,14.340000000000002,-450.0,45.95,89.1786499,0.563698709,104.975639355,28.996220493333333,1645952.3333333333,1.398334026,20.296328924999997,0.956785858,19.5895,77.767083335,90.687645,71.144528,12.9715,-1.1625983715000001,70.4,54.6
West Bank and Gaza,PSE,100.0,34.085,407481000000.0,-0.702682197,97.99034119,16.57115173,42.26,-0.900952578,98.0,99.0,97.0,88.6469,3.741223919,12000.0,49.27999998866667,73.444,97.84384155,3.1,61.9,118.71656246666666,27.380000000000003,-5000.0,45.95,89.1786499,-1.817886233,94.09728241,27.731919946666668,2454258.0,-0.036869179,22.8444933875,-0.552935243,28.176,83.3675,84.589328,75.344967,24.42,-1.036493301,70.4,54.6
World,WLD,91.35257097,22.9925,407481000000.0,-1.1911201775,97.99034119,16.57115173,45.34,-1.5667470694999999,84.58050209,84.29673119,83.544241,64.4,7.967573616,2267500.0,69.9133333165,71.99635238,87.01174927,3.0,61.9,108.1,40.42,0.0,45.95,89.1786499,-2.1473832725,91.13854218,26.4676194,35316431.0,-0.977209454,25.39265785,-1.201301098,28.57333333333333,58.302291665,79.98121202,70.86263212,18.278333333333336,-1.3275544639999999,70.4,54.6
"Yemen, Rep.",YEM,76.0,11.9,407481000000.0,-1.679558158,97.99034119,16.57115173,48.42,-2.232541561,74.0,74.0,73.0,17.6948,9.480388768,4523000.0,90.54666664433334,63.72,87.95783233666667,2.2,61.9,103.60120912,53.46,-29998.0,45.95,89.1786499,-2.476880312,89.46469371,0.0,77458.0,-1.917549729,86.5,-1.849666953,28.970666666666666,33.23708333,70.121725,55.381005,12.136666666666668,-1.618615627,70.4,54.6
Zambia,ZMB,47.8,11.9,407481000000.0,-0.529199839,97.99034119,16.57115173,51.5,-0.658232749,82.0,82.0,90.0,31.2342,10.99320392,4523000.0,111.17999997216667,61.803,88.90391540333333,2.35,61.9,99.10241824,66.5,-5000.0,45.95,89.1786499,0.102313563,87.79084524,15.06024096,61159.0,-0.52905792,86.5,-0.519154012,29.368,62.10625,62.604672,49.134736,5.995,-0.089141272,70.4,54.6
Zimbabwe,ZWE,50.1,11.9,407481000000.0,-1.25513947,97.99034119,16.57115173,51.5,-1.254612923,90.0,90.0,90.0,32.5615,104.7051706,4523000.0,131.8133333,59.391,89.84999847,2.5,61.9,87.62450647,66.5,-9999.0,45.95,89.1786499,-0.884499907,86.11699677,30.56603774,10475.0,-1.425967336,86.5,-1.236283779,32.236,70.2125,54.538231,41.037746,10.087,-1.102205515,70.4,54.6
